county,year,precip
1,1985,18.13
1,1990,20.08
1,1995,27.31
1,2000,19.52
1,2005,22.42
1,2010,25.95
1,2015,20.04
3,1985,38.67
3,1990,56.62
3,1995,75.84
3,2000,46.09
3,2005,55.11
3,2010,70.89
3,2015,55.36
5,1985,56.54
5,1990,79.41
5,1995,93.38
5,2000,56.63
5,2005,69.02
5,2010,86.07
5,2015,68.57
7,1985,60.53
7,1990,100.65
7,1995,102.36
7,2000,66.55
7,2005,79.75
7,2010,99.42
7,2015,93.70
9,1985,37.79
9,1990,60.60
9,1995,66.59
9,2000,43.95
9,2005,52.44
9,2010,63.10
9,2015,58.23
11,1985,46.95
11,1990,63.27
11,1995,87.15
11,2000,61.08
11,2005,69.82
11,2010,74.91
11,2015,62.20
13,1985,10.35
13,1990,12.40
13,1995,18.66
13,2000,13.22
13,2005,15.64
13,2010,18.78
13,2015,12.42
15,1985,51.85
15,1990,70.99
15,1995,103.29
15,2000,79.14
15,2005,86.95
15,2010,103.34
15,2015,77.67
17,1985,16.79
17,1990,21.16
17,1995,30.92
17,2000,18.88
17,2005,24.88
17,2010,25.77
17,2015,20.19
19,1985,36.76
19,1990,48.70
19,1995,66.59
19,2000,46.17
19,2005,55.55
19,2010,61.73
19,2015,49.60
21,1985,8.04
21,1990,10.34
21,1995,16.80
21,2000,10.09
21,2005,12.03
21,2010,16.04
21,2015,8.68
23,1985,16.41
23,1990,18.80
23,1995,27.77
23,2000,19.47
23,2005,21.48
23,2010,25.72
23,2015,18.89
25,1985,9.70
25,1990,8.71
25,1995,16.85
25,2000,12.88
25,2005,16.68
25,2010,16.17
25,2015,12.54
27,1985,45.83
27,1990,65.87
27,1995,74.35
27,2000,40.98
27,2005,54.03
27,2010,64.96
27,2015,55.48
29,1985,23.13
29,1990,31.11
29,1995,49.77
29,2000,32.11
29,2005,41.66
29,2010,41.89
29,2015,35.41
31,1985,12.50
31,1990,17.36
31,1995,25.38
31,2000,15.71
31,2005,19.24
31,2010,23.32
31,2015,16.22
33,1985,29.93
33,1990,41.14
33,1995,71.61
33,2000,48.02
33,2005,65.20
33,2010,66.93
33,2015,51.51
35,1985,19.67
35,1990,22.89
35,1995,37.88
35,2000,23.54
35,2005,30.76
35,2010,30.47
35,2015,25.56
37,1985,10.72
37,1990,11.05
37,1995,19.12
37,2000,15.33
37,2005,19.03
37,2010,16.12
37,2015,14.09
39,1985,46.07
39,1990,64.67
39,1995,81.05
39,2000,52.98
39,2005,60.70
39,2010,74.20
39,2015,57.11
41,1985,63.70
41,1990,88.88
41,1995,110.26
41,2000,69.49
41,2005,84.87
41,2010,105.68
41,2015,86.46
43,1985,51.06
43,1990,73.12
43,1995,86.27
43,2000,55.50
43,2005,65.42
43,2010,80.52
43,2015,59.57
45,1985,9.78
45,1990,9.33
45,1995,17.56
45,2000,13.11
45,2005,16.47
45,2010,15.81
45,2015,13.59
47,1985,44.46
47,1990,64.72
47,1995,80.50
47,2000,51.14
47,2005,60.13
47,2010,76.70
47,2015,59.10
49,1985,12.17
49,1990,11.98
49,1995,18.35
49,2000,13.63
49,2005,12.90
49,2010,18.95
49,2015,10.95
51,1985,44.69
51,1990,66.88
51,1995,77.34
51,2000,48.35
51,2005,59.65
51,2010,75.40
51,2015,62.49
53,1985,42.46
53,1990,64.14
53,1995,85.03
53,2000,46.42
53,2005,62.38
53,2010,81.70
53,2015,66.67
55,1985,9.73
55,1990,11.71
55,1995,21.22
55,2000,11.13
55,2005,14.81
55,2010,19.14
55,2015,11.20
57,1985,70.77
57,1990,108.19
57,1995,121.45
57,2000,73.40
57,2005,92.30
57,2010,113.68
57,2015,102.65
59,1985,16.34
59,1990,19.25
59,1995,26.70
59,2000,21.96
59,2005,16.96
59,2010,25.19
59,2015,17.19
61,1985,22.96
61,1990,27.65
61,1995,36.63
61,2000,25.88
61,2005,24.01
61,2010,32.10
61,2015,25.32
63,1985,23.39
63,1990,26.13
63,1995,34.41
63,2000,24.74
63,2005,24.59
63,2010,29.92
63,2015,24.18
65,1985,14.42
65,1990,19.69
65,1995,29.07
65,2000,16.68
65,2005,21.41
65,2010,25.53
65,2015,18.33
67,1985,35.53
67,1990,56.19
67,1995,70.55
67,2000,41.69
67,2005,51.55
67,2010,64.31
67,2015,59.30
69,1985,12.10
69,1990,13.98
69,1995,19.07
69,2000,15.07
69,2005,16.19
69,2010,18.80
69,2015,13.67
71,1985,38.41
71,1990,58.23
71,1995,73.18
71,2000,43.95
71,2005,54.14
71,2010,70.97
71,2015,63.36
