county,year,temp
1,1985,41.16
1,1990,45.39
1,1995,45.70
1,2000,45.54
1,2005,45.38
1,2010,45.06
1,2015,48.43
3,1985,49.67
3,1990,51.83
3,1995,53.55
3,2000,51.73
3,2005,52.65
3,2010,52.02
3,2015,55.09
5,1985,46.25
5,1990,48.29
5,1995,49.12
5,2000,47.78
5,2005,48.73
5,2010,48.13
5,2015,51.52
7,1985,47.66
7,1990,49.86
7,1995,51.01
7,2000,49.37
7,2005,50.38
7,2010,49.76
7,2015,52.44
9,1985,48.30
9,1990,50.66
9,1995,51.77
9,2000,50.02
9,2005,51.03
9,2010,50.63
9,2015,53.33
11,1985,50.74
11,1990,51.97
11,1995,53.74
11,2000,52.43
11,2005,53.53
11,2010,52.16
11,2015,54.82
13,1985,42.23
13,1990,45.81
13,1995,46.03
13,2000,45.45
13,2005,45.78
13,2010,45.31
13,2015,48.47
15,1985,51.28
15,1990,51.62
15,1995,53.56
15,2000,52.62
15,2005,53.53
15,2010,51.86
15,2015,55.24
17,1985,41.58
17,1990,44.21
17,1995,44.65
17,2000,43.88
17,2005,44.13
17,2010,43.62
17,2015,46.94
19,1985,48.98
19,1990,50.41
19,1995,51.77
19,2000,50.82
19,2005,51.47
19,2010,50.54
19,2015,53.84
21,1985,46.70
21,1990,50.92
21,1995,50.55
21,2000,49.68
21,2005,50.62
21,2010,50.27
21,2015,53.44
23,1985,40.34
23,1990,44.40
23,1995,44.75
23,2000,44.41
23,2005,44.49
23,2010,43.96
23,2015,47.10
25,1985,42.72
25,1990,46.03
25,1995,46.36
25,2000,46.40
25,2005,46.04
25,2010,45.52
25,2015,48.73
27,1985,42.76
27,1990,45.68
27,1995,45.75
27,2000,44.60
27,2005,45.70
27,2010,45.01
27,2015,49.00
29,1985,48.75
29,1990,49.80
29,1995,51.15
29,2000,50.46
29,2005,50.73
29,2010,49.61
29,2015,53.23
31,1985,44.39
31,1990,47.74
31,1995,47.50
31,2000,46.59
31,2005,47.36
31,2010,46.92
31,2015,50.22
33,1985,49.44
33,1990,50.12
33,1995,51.85
33,2000,50.89
33,2005,51.43
33,2010,50.28
33,2015,54.11
35,1985,42.45
35,1990,43.69
35,1995,44.84
35,2000,44.44
35,2005,44.60
35,2010,43.70
35,2015,47.35
37,1985,42.54
37,1990,44.70
37,1995,45.63
37,2000,45.32
37,2005,45.21
37,2010,44.71
37,2015,47.77
39,1985,47.77
39,1990,49.58
39,1995,50.83
39,2000,49.64
39,2005,50.39
39,2010,49.57
39,2015,52.73
41,1985,48.95
41,1990,50.78
41,1995,52.56
41,2000,51.12
41,2005,51.96
41,2010,50.78
41,2015,54.23
43,1985,47.17
43,1990,48.95
43,1995,50.14
43,2000,48.86
43,2005,49.61
43,2010,49.07
43,2015,52.27
45,1985,44.18
45,1990,48.18
45,1995,48.54
45,2000,48.74
45,2005,47.76
45,2010,47.75
45,2015,50.75
47,1985,47.62
47,1990,49.65
47,1995,50.82
47,2000,49.23
47,2005,50.08
47,2010,49.72
47,2015,52.75
49,1985,45.82
49,1990,50.18
49,1995,50.01
49,2000,49.31
49,2005,50.11
49,2010,49.58
49,2015,52.78
51,1985,48.77
51,1990,51.52
51,1995,52.38
51,2000,50.76
51,2005,51.82
51,2010,51.30
51,2015,54.35
53,1985,49.28
53,1990,51.23
53,1995,53.00
53,2000,51.22
53,2005,51.89
53,2010,51.27
53,2015,54.83
55,1985,46.47
55,1990,50.64
55,1995,50.12
55,2000,49.04
55,2005,50.15
55,2010,49.78
55,2015,53.30
57,1985,47.52
57,1990,49.30
57,1995,50.66
57,2000,49.19
57,2005,50.00
57,2010,49.18
57,2015,52.29
59,1985,44.61
59,1990,49.26
59,1995,49.06
59,2000,48.23
59,2005,48.98
59,2010,48.62
59,2015,51.61
61,1985,40.09
61,1990,44.58
61,1995,44.84
61,2000,44.38
61,2005,44.58
61,2010,44.02
61,2015,47.32
63,1985,39.46
63,1990,43.88
63,1995,44.02
63,2000,43.37
63,2005,43.81
63,2010,43.36
63,2015,46.50
65,1985,45.26
65,1990,48.72
65,1995,48.38
65,2000,47.39
65,2005,48.37
65,2010,47.81
65,2015,51.62
67,1985,48.68
67,1990,50.77
67,1995,52.07
67,2000,50.23
67,2005,51.38
67,2010,50.90
67,2015,54.06
69,1985,43.75
69,1990,47.43
69,1995,47.50
69,2000,46.97
69,2005,47.53
69,2010,46.71
69,2015,50.16
71,1985,49.52
71,1990,51.39
71,1995,52.96
71,2000,51.21
71,2005,51.88
71,2010,51.52
71,2015,54.86
