county,year,precip
1,1985,39.89
1,1990,46.42
1,1995,39.64
1,2000,42.10
1,2005,43.48
1,2010,40.82
1,2015,44.06
3,1985,40.65
3,1990,47.92
3,1995,32.35
3,2000,38.98
3,2005,37.68
3,2010,38.19
3,2015,43.49
5,1985,43.37
5,1990,51.39
5,1995,35.33
5,2000,39.34
5,2005,39.84
5,2010,41.73
5,2015,50.72
7,1985,40.87
7,1990,51.50
7,1995,31.60
7,2000,38.68
7,2005,41.49
7,2010,40.91
7,2015,41.46
9,1985,39.22
9,1990,42.23
9,1995,35.75
9,2000,37.02
9,2005,34.38
9,2010,40.70
9,2015,37.24
11,1985,39.83
11,1990,48.62
11,1995,40.13
11,2000,43.44
11,2005,46.64
11,2010,43.00
11,2015,42.90
13,1985,39.21
13,1990,45.74
13,1995,35.56
13,2000,36.45
13,2005,37.70
13,2010,42.52
13,2015,40.09
15,1985,32.54
15,1990,43.47
15,1995,33.52
15,2000,39.36
15,2005,42.29
15,2010,37.55
15,2015,34.89
17,1985,40.72
17,1990,49.17
17,1995,41.61
17,2000,45.45
17,2005,48.92
17,2010,44.58
17,2015,43.41
19,1985,46.56
19,1990,50.19
19,1995,36.76
19,2000,38.24
19,2005,40.54
19,2010,40.63
19,2015,45.44
21,1985,45.25
21,1990,51.47
21,1995,37.71
21,2000,40.75
21,2005,41.87
21,2010,47.35
21,2015,46.56
23,1985,42.31
23,1990,51.41
23,1995,36.40
23,2000,39.10
23,2005,40.32
23,2010,43.70
23,2015,47.48
25,1985,44.23
25,1990,57.40
25,1995,42.31
25,2000,47.21
25,2005,50.63
25,2010,48.07
25,2015,46.27
27,1985,37.16
27,1990,49.18
27,1995,36.10
27,2000,36.15
27,2005,39.00
27,2010,41.96
27,2015,42.98
29,1985,40.36
29,1990,47.06
29,1995,40.84
29,2000,45.86
29,2005,47.12
29,2010,47.00
29,2015,45.49
31,1985,49.29
31,1990,55.33
31,1995,38.29
31,2000,40.99
31,2005,39.46
31,2010,40.07
31,2015,49.73
33,1985,41.77
33,1990,50.69
33,1995,36.42
33,2000,40.40
33,2005,40.73
33,2010,42.61
33,2015,45.20
35,1985,38.34
35,1990,49.65
35,1995,35.51
35,2000,38.71
35,2005,39.19
35,2010,42.00
35,2015,41.98
37,1985,38.84
37,1990,50.21
37,1995,36.47
37,2000,43.70
37,2005,44.39
37,2010,40.16
37,2015,39.34
39,1985,50.34
39,1990,57.12
39,1995,37.12
39,2000,43.31
39,2005,42.77
39,2010,42.41
39,2015,45.35
41,1985,36.18
41,1990,46.96
41,1995,37.89
41,2000,40.01
41,2005,41.97
41,2010,43.78
41,2015,39.80
43,1985,38.00
43,1990,49.55
43,1995,38.15
43,2000,43.47
43,2005,44.22
43,2010,41.79
43,2015,42.02
45,1985,38.25
45,1990,45.06
45,1995,36.47
45,2000,46.30
45,2005,45.92
45,2010,47.07
45,2015,46.53
47,1985,44.33
47,1990,53.31
47,1995,38.36
47,2000,40.11
47,2005,41.62
47,2010,42.15
47,2015,48.64
49,1985,49.57
49,1990,58.01
49,1995,37.89
49,2000,47.23
49,2005,43.13
49,2010,43.46
49,2015,42.61
51,1985,50.25
51,1990,52.42
51,1995,38.09
51,2000,44.10
51,2005,44.12
51,2010,41.99
51,2015,47.20
53,1985,47.50
53,1990,55.15
53,1995,39.93
53,2000,41.33
53,2005,41.36
53,2010,42.06
53,2015,48.58
55,1985,38.95
55,1990,42.85
55,1995,36.34
55,2000,40.29
55,2005,38.61
55,2010,38.29
55,2015,35.85
57,1985,38.75
57,1990,42.34
57,1995,36.58
57,2000,38.20
57,2005,36.50
57,2010,38.67
57,2015,36.62
59,1985,44.79
59,1990,47.25
59,1995,36.98
59,2000,39.04
59,2005,42.10
59,2010,39.49
59,2015,41.75
61,1985,38.33
61,1990,42.83
61,1995,36.70
61,2000,35.93
61,2005,37.36
61,2010,40.18
61,2015,38.65
63,1985,44.69
63,1990,51.05
63,1995,38.01
63,2000,41.08
63,2005,41.88
63,2010,43.69
63,2015,51.16
65,1985,45.69
65,1990,53.96
65,1995,38.08
65,2000,41.35
65,2005,40.96
65,2010,40.26
65,2015,48.74
67,1985,39.25
67,1990,48.07
67,1995,38.21
67,2000,36.23
67,2005,40.17
67,2010,41.01
67,2015,39.30
69,1985,44.35
69,1990,50.77
69,1995,35.58
69,2000,41.83
69,2005,45.54
69,2010,42.27
69,2015,38.37
71,1985,38.08
71,1990,46.47
71,1995,41.14
71,2000,42.62
71,2005,45.41
71,2010,41.54
71,2015,42.78
73,1985,43.42
73,1990,49.21
73,1995,35.77
73,2000,38.05
73,2005,41.17
73,2010,41.81
73,2015,45.08
75,1985,37.36
75,1990,47.58
75,1995,38.16
75,2000,44.42
75,2005,46.06
75,2010,43.18
75,2015,44.28
77,1985,41.99
77,1990,49.77
77,1995,41.48
77,2000,45.48
77,2005,49.76
77,2010,46.05
77,2015,43.61
79,1985,43.30
79,1990,51.84
79,1995,35.71
79,2000,43.57
79,2005,45.65
79,2010,39.10
79,2015,38.99
81,1985,36.18
81,1990,49.30
81,1995,35.88
81,2000,41.83
81,2005,47.35
81,2010,43.66
81,2015,41.51
83,1985,43.56
83,1990,54.42
83,1995,38.68
83,2000,39.59
83,2005,43.49
83,2010,43.31
83,2015,45.34
85,1985,46.55
85,1990,50.65
85,1995,35.74
85,2000,39.74
85,2005,43.07
85,2010,40.44
85,2015,45.96
87,1985,39.79
87,1990,46.95
87,1995,37.68
87,2000,33.70
87,2005,39.06
87,2010,41.10
87,2015,39.54
89,1985,45.42
89,1990,58.19
89,1995,42.31
89,2000,45.30
89,2005,55.88
89,2010,49.44
89,2015,46.61
91,1985,39.58
91,1990,46.90
91,1995,41.07
91,2000,46.14
91,2005,46.49
91,2010,45.38
91,2015,43.65
93,1985,37.12
93,1990,50.93
93,1995,34.93
93,2000,40.80
93,2005,41.75
93,2010,39.16
93,2015,38.83
95,1985,43.30
95,1990,51.23
95,1995,41.45
95,2000,45.65
95,2005,51.08
95,2010,47.51
95,2015,43.63
97,1985,36.29
97,1990,49.79
97,1995,36.14
97,2000,41.92
97,2005,41.55
97,2010,38.23
97,2015,38.22
99,1985,37.61
99,1990,48.70
99,1995,38.99
99,2000,40.00
99,2005,41.60
99,2010,41.37
99,2015,40.00
101,1985,38.74
101,1990,44.43
101,1995,37.86
101,2000,47.27
101,2005,46.89
101,2010,43.11
101,2015,46.01
103,1985,45.11
103,1990,50.97
103,1995,38.83
103,2000,46.64
103,2005,50.96
103,2010,49.15
103,2015,41.94
105,1985,38.24
105,1990,49.51
105,1995,36.70
105,2000,38.34
105,2005,41.18
105,2010,44.18
105,2015,42.71
107,1985,39.44
107,1990,53.16
107,1995,40.95
107,2000,47.10
107,2005,48.96
107,2010,46.05
107,2015,44.17
109,1985,38.46
109,1990,51.84
109,1995,37.68
109,2000,40.41
109,2005,40.62
109,2010,39.87
109,2015,39.40
111,1985,46.56
111,1990,48.19
111,1995,39.52
111,2000,43.89
111,2005,41.93
111,2010,44.73
111,2015,47.29
113,1985,38.61
113,1990,51.70
113,1995,38.58
113,2000,47.12
113,2005,49.44
113,2010,43.84
113,2015,40.62
115,1985,39.71
115,1990,48.60
115,1995,38.98
115,2000,47.07
115,2005,47.63
115,2010,44.83
115,2015,39.42
117,1985,31.74
117,1990,42.58
117,1995,34.34
117,2000,36.41
117,2005,43.35
117,2010,40.54
117,2015,37.92
119,1985,36.63
119,1990,50.25
119,1995,36.19
119,2000,39.00
119,2005,40.89
119,2010,39.54
119,2015,38.77
121,1985,48.50
121,1990,56.07
121,1995,37.95
121,2000,41.42
121,2005,41.52
121,2010,39.89
121,2015,47.21
123,1985,46.97
123,1990,56.34
123,1995,38.38
123,2000,41.79
123,2005,42.23
123,2010,42.27
123,2015,44.51
125,1985,42.63
125,1990,49.89
125,1995,33.66
125,2000,39.73
125,2005,39.17
125,2010,37.44
125,2015,43.52
127,1985,42.81
127,1990,50.00
127,1995,37.25
127,2000,46.38
127,2005,48.40
127,2010,47.75
127,2015,40.17
129,1985,46.37
129,1990,49.72
129,1995,35.52
129,2000,41.43
129,2005,40.34
129,2010,41.96
129,2015,48.97
131,1985,39.48
131,1990,49.32
131,1995,36.02
131,2000,43.74
131,2005,44.94
