county,year,temp
1,1985,52.02
1,1990,54.03
1,1995,51.70
1,2000,51.42
1,2005,52.77
1,2010,53.40
1,2015,52.80
3,1985,50.55
3,1990,52.74
3,1995,50.72
3,2000,50.99
3,2005,51.97
3,2010,51.78
3,2015,51.83
5,1985,48.89
5,1990,51.10
5,1995,48.84
5,2000,49.20
5,2005,49.82
5,2010,49.77
5,2015,49.83
7,1985,49.97
7,1990,52.35
7,1995,50.37
7,2000,50.45
7,2005,51.52
7,2010,51.53
7,2015,50.82
9,1985,50.22
9,1990,52.07
9,1995,49.79
9,2000,49.93
9,2005,50.90
9,2010,51.03
9,2015,50.72
11,1985,51.50
11,1990,53.24
11,1995,51.23
11,2000,50.82
11,2005,52.38
11,2010,53.49
11,2015,52.36
13,1985,48.68
13,1990,51.00
13,1995,48.67
13,2000,48.94
13,2005,49.45
13,2010,50.04
13,2015,49.73
15,1985,46.02
15,1990,48.45
15,1995,46.16
15,2000,46.02
15,2005,46.95
15,2010,48.00
15,2015,46.68
17,1985,51.96
17,1990,53.84
17,1995,51.98
17,2000,51.62
17,2005,52.92
17,2010,54.04
17,2015,53.21
19,1985,48.76
19,1990,51.23
19,1995,49.02
19,2000,49.43
19,2005,50.35
19,2010,50.19
19,2015,49.93
21,1985,46.89
21,1990,49.12
21,1995,46.82
21,2000,47.08
21,2005,47.93
21,2010,48.11
21,2015,48.00
23,1985,46.51
23,1990,49.03
23,1995,46.83
23,2000,46.87
23,2005,47.46
23,2010,48.24
23,2015,46.67
25,1985,47.40
25,1990,49.42
25,1995,47.40
25,2000,46.95
25,2005,48.83
25,2010,49.51
25,2015,48.63
27,1985,48.07
27,1990,50.46
27,1995,48.05
27,2000,48.23
27,2005,48.87
27,2010,49.74
27,2015,48.75
29,1985,52.43
29,1990,54.37
29,1995,52.29
29,2000,52.14
29,2005,53.48
29,2010,54.37
29,2015,53.74
31,1985,47.75
31,1990,49.78
31,1995,47.62
31,2000,47.91
31,2005,48.50
31,2010,48.79
31,2015,48.77
33,1985,46.80
33,1990,49.33
33,1995,46.98
33,2000,47.17
33,2005,47.80
33,2010,48.40
33,2015,48.36
35,1985,47.74
35,1990,50.04
35,1995,47.86
35,2000,47.92
35,2005,48.68
35,2010,49.54
35,2015,48.02
37,1985,48.43
37,1990,50.26
37,1995,48.15
37,2000,48.14
37,2005,49.29
37,2010,50.29
37,2015,48.97
39,1985,46.92
39,1990,49.18
39,1995,47.14
39,2000,47.43
39,2005,48.12
39,2010,48.27
39,2015,47.97
41,1985,52.03
41,1990,53.97
41,1995,51.56
41,2000,51.48
41,2005,52.79
41,2010,53.57
41,2015,52.88
43,1985,51.09
43,1990,52.93
43,1995,50.76
43,2000,50.63
43,2005,51.94
43,2010,52.93
43,2015,52.00
45,1985,53.89
45,1990,55.66
45,1995,53.85
45,2000,53.49
45,2005,55.08
45,2010,56.06
45,2015,55.69
47,1985,45.64
47,1990,48.07
47,1995,45.85
47,2000,45.94
47,2005,46.54
47,2010,47.07
47,2015,46.95
49,1985,47.08
49,1990,49.27
49,1995,47.19
49,2000,47.43
49,2005,48.12
49,2010,48.23
49,2015,47.75
51,1985,49.52
51,1990,51.68
51,1995,49.34
51,2000,49.61
51,2005,50.73
51,2010,49.97
51,2015,50.66
53,1985,46.43
53,1990,48.62
53,1995,46.62
53,2000,46.74
53,2005,47.42
53,2010,47.79
53,2015,47.62
55,1985,51.93
55,1990,53.96
55,1995,51.57
55,2000,51.56
55,2005,52.69
55,2010,53.32
55,2015,52.83
57,1985,51.37
57,1990,53.11
57,1995,50.97
57,2000,51.05
57,2005,51.97
57,2010,52.28
57,2015,51.88
59,1985,50.43
59,1990,53.06
59,1995,50.64
59,2000,50.91
59,2005,51.97
59,2010,51.36
59,2015,52.06
61,1985,50.26
61,1990,52.24
61,1995,50.03
61,2000,50.33
61,2005,50.67
61,2010,51.48
61,2015,50.98
63,1985,48.17
63,1990,50.43
63,1995,48.14
63,2000,48.49
63,2005,49.26
63,2010,49.24
63,2015,49.43
65,1985,46.76
65,1990,48.93
65,1995,46.65
65,2000,46.96
65,2005,47.64
65,2010,48.07
65,2015,48.43
67,1985,51.03
67,1990,52.80
67,1995,50.61
67,2000,50.79
67,2005,51.71
67,2010,52.53
67,2015,51.46
69,1985,46.15
69,1990,48.54
69,1995,46.19
69,2000,45.82
69,2005,47.44
69,2010,48.33
69,2015,47.67
71,1985,52.38
71,1990,54.23
71,1995,52.10
71,2000,51.73
71,2005,53.04
71,2010,54.03
71,2015,53.08
73,1985,49.05
73,1990,51.49
73,1995,49.35
73,2000,49.58
73,2005,50.69
73,2010,50.56
73,2015,50.62
75,1985,51.05
75,1990,52.84
75,1995,50.81
75,2000,50.47
75,2005,51.88
75,2010,53.06
75,2015,52.17
77,1985,50.73
77,1990,52.55
77,1995,50.57
77,2000,50.27
77,2005,51.89
77,2010,52.74
77,2015,52.06
79,1985,46.99
79,1990,49.06
79,1995,47.01
79,2000,46.59
79,2005,48.47
79,2010,49.12
79,2015,48.37
81,1985,47.20
81,1990,49.55
81,1995,47.33
81,2000,47.27
81,2005,48.35
81,2010,49.46
81,2015,48.11
83,1985,44.57
83,1990,47.16
83,1995,44.87
83,2000,44.86
83,2005,45.47
83,2010,45.86
83,2015,45.70
85,1985,47.73
85,1990,50.10
85,1995,48.02
85,2000,48.31
85,2005,49.13
85,2010,49.23
85,2015,49.12
87,1985,50.25
87,1990,52.04
87,1995,49.92
87,2000,50.12
87,2005,50.83
87,2010,51.65
87,2015,50.67
89,1985,46.96
89,1990,49.15
89,1995,46.86
89,2000,46.55
89,2005,48.17
89,2010,49.07
89,2015,48.07
91,1985,52.82
91,1990,54.57
91,1995,52.64
91,2000,52.47
91,2005,53.78
91,2010,54.65
91,2015,54.08
93,1985,49.32
93,1990,51.23
93,1995,49.13
93,2000,49.19
93,2005,50.10
93,2010,51.25
93,2015,49.86
95,1985,49.92
95,1990,51.91
95,1995,49.78
95,2000,49.43
95,2005,51.21
95,2010,52.18
95,2015,51.27
97,1985,49.51
97,1990,51.39
97,1995,49.34
97,2000,49.34
97,2005,50.24
97,2010,51.31
97,2015,50.02
99,1985,51.31
99,1990,53.13
99,1995,50.78
99,2000,50.92
99,2005,52.02
99,2010,52.93
99,2015,51.97
101,1985,53.97
101,1990,55.97
101,1995,54.15
101,2000,53.64
101,2005,55.19
101,2010,56.32
101,2015,56.03
103,1985,46.51
103,1990,48.78
103,1995,46.56
103,2000,46.33
103,2005,47.51
103,2010,48.79
103,2015,47.33
105,1985,44.79
105,1990,47.52
105,1995,45.22
105,2000,45.18
105,2005,45.94
105,2010,46.80
