county,year,precip
1,1985,41.30
1,1990,48.01
1,1995,53.43
1,2000,39.44
1,2005,49.89
1,2010,37.63
1,2015,67.75
3,1985,48.99
3,1990,44.95
3,1995,57.27
3,2000,41.39
3,2005,47.31
3,2010,36.26
3,2015,55.65
5,1985,51.42
5,1990,40.16
5,1995,51.04
5,2000,39.02
5,2005,51.50
5,2010,43.10
5,2015,57.39
7,1985,43.77
7,1990,51.36
7,1995,52.83
7,2000,36.68
7,2005,51.24
7,2010,40.30
7,2015,62.89
9,1985,48.10
9,1990,42.57
9,1995,55.56
9,2000,43.33
9,2005,45.79
9,2010,41.04
9,2015,58.90
11,1985,48.20
11,1990,43.11
11,1995,57.69
11,2000,41.48
11,2005,47.01
11,2010,39.41
11,2015,56.14
13,1985,43.93
13,1990,41.03
13,1995,50.55
13,2000,39.34
13,2005,54.03
13,2010,38.77
13,2015,56.55
15,1985,47.69
15,1990,47.12
15,1995,53.22
15,2000,43.23
15,2005,48.94
15,2010,48.37
15,2015,66.28
17,1985,47.98
17,1990,42.21
17,1995,55.36
17,2000,38.72
17,2005,43.50
17,2010,39.31
17,2015,61.06
19,1985,46.73
19,1990,45.43
19,1995,50.01
19,2000,40.45
19,2005,50.21
19,2010,47.11
19,2015,70.02
21,1985,48.38
21,1990,55.77
21,1995,57.85
21,2000,36.41
21,2005,45.22
21,2010,37.70
21,2015,54.67
23,1985,46.68
23,1990,47.32
23,1995,49.27
23,2000,38.45
23,2005,42.33
23,2010,39.11
23,2015,53.15
25,1985,49.17
25,1990,44.15
25,1995,47.96
25,2000,43.80
25,2005,44.99
25,2010,42.69
25,2015,55.94
27,1985,50.72
27,1990,44.29
27,1995,60.73
27,2000,40.45
27,2005,40.83
27,2010,39.33
27,2015,59.06
29,1985,45.96
29,1990,42.63
29,1995,50.99
29,2000,43.18
29,2005,48.18
29,2010,45.60
29,2015,63.80
31,1985,47.04
31,1990,39.93
31,1995,51.12
31,2000,44.76
31,2005,45.43
31,2010,42.92
31,2015,54.98
33,1985,47.38
33,1990,35.36
33,1995,54.83
33,2000,46.16
33,2005,42.13
33,2010,39.31
33,2015,54.92
35,1985,47.41
35,1990,45.12
35,1995,50.34
35,2000,46.02
35,2005,45.26
35,2010,47.51
35,2015,66.81
37,1985,49.75
37,1990,47.40
37,1995,50.15
37,2000,42.20
37,2005,48.66
37,2010,37.42
37,2015,56.50
39,1985,45.86
39,1990,46.05
39,1995,46.56
39,2000,40.75
39,2005,42.09
39,2010,35.28
39,2015,59.64
41,1985,48.61
41,1990,44.28
41,1995,56.35
41,2000,42.93
41,2005,42.93
41,2010,41.70
41,2015,58.81
43,1985,51.57
43,1990,44.21
43,1995,61.79
43,2000,47.92
43,2005,54.46
43,2010,50.10
43,2015,64.68
45,1985,50.52
45,1990,58.49
45,1995,64.91
45,2000,40.01
45,2005,54.34
45,2010,46.17
45,2015,67.36
47,1985,45.81
47,1990,48.78
47,1995,52.84
47,2000,38.66
47,2005,48.27
47,2010,36.30
47,2015,62.10
49,1985,48.44
49,1990,42.85
49,1995,50.41
49,2000,38.83
49,2005,51.70
49,2010,43.50
49,2015,58.68
51,1985,46.46
51,1990,41.02
51,1995,57.88
51,2000,48.63
51,2005,47.64
51,2010,42.93
51,2015,61.64
53,1985,43.79
53,1990,42.93
53,1995,51.42
53,2000,38.76
53,2005,52.89
53,2010,39.65
53,2015,54.90
55,1985,46.97
55,1990,44.07
55,1995,48.13
55,2000,37.10
55,2005,38.86
55,2010,36.99
55,2015,54.97
57,1985,48.67
57,1990,47.20
57,1995,47.79
57,2000,36.64
57,2005,39.77
57,2010,38.88
57,2015,52.44
59,1985,46.66
59,1990,51.89
59,1995,53.64
59,2000,37.14
59,2005,48.30
59,2010,39.43
59,2015,63.49
61,1985,48.80
61,1990,44.13
61,1995,52.64
61,2000,39.83
61,2005,42.86
61,2010,39.79
61,2015,55.18
63,1985,49.36
63,1990,44.04
63,1995,55.19
63,2000,41.40
63,2005,46.13
63,2010,35.53
63,2015,65.60
65,1985,44.24
65,1990,48.92
65,1995,50.56
65,2000,38.49
65,2005,47.68
65,2010,36.00
65,2015,63.04
67,1985,49.52
67,1990,40.57
67,1995,57.74
67,2000,45.07
67,2005,43.26
67,2010,39.67
67,2015,57.47
69,1985,50.32
69,1990,37.85
69,1995,48.08
69,2000,43.86
69,2005,47.04
69,2010,41.26
69,2015,54.03
71,1985,50.21
71,1990,44.67
71,1995,50.12
71,2000,40.54
71,2005,47.39
71,2010,32.91
71,2015,62.58
73,1985,57.52
73,1990,63.98
73,1995,67.20
73,2000,43.77
73,2005,67.45
73,2010,54.70
73,2015,71.94
75,1985,48.21
75,1990,43.24
75,1995,56.68
75,2000,42.54
75,2005,44.33
75,2010,40.95
75,2015,59.97
77,1985,53.50
77,1990,60.67
77,1995,66.58
77,2000,44.15
77,2005,61.80
77,2010,49.37
77,2015,69.60
79,1985,44.31
79,1990,40.59
79,1995,50.31
79,2000,39.06
79,2005,43.39
79,2010,36.20
79,2015,63.47
81,1985,49.36
81,1990,46.15
81,1995,50.98
81,2000,41.89
81,2005,48.24
81,2010,35.65
81,2015,61.23
83,1985,47.38
83,1990,54.10
83,1995,59.26
83,2000,37.90
83,2005,50.87
83,2010,38.95
83,2015,63.58
85,1985,47.99
85,1990,46.45
85,1995,54.66
85,2000,36.18
85,2005,40.73
85,2010,39.55
85,2015,57.61
87,1985,49.40
87,1990,49.60
87,1995,54.80
87,2000,36.99
87,2005,46.60
87,2010,37.43
87,2015,58.93
89,1985,50.99
89,1990,48.41
89,1995,61.44
89,2000,43.07
89,2005,47.01
89,2010,45.23
89,2015,62.35
91,1985,47.58
91,1990,50.03
91,1995,53.11
91,2000,37.80
91,2005,42.17
91,2010,35.65
91,2015,50.01
