county,year,temp
1,1985,61.66
1,1990,63.67
1,1995,61.48
1,2000,61.50
1,2005,61.84
1,2010,61.55
1,2015,62.96
3,1985,63.73
3,1990,65.52
3,1995,63.22
3,2000,62.80
3,2005,63.40
3,2010,62.94
3,2015,65.04
5,1985,64.71
5,1990,66.57
5,1995,63.98
5,2000,63.70
5,2005,64.61
5,2010,63.83
5,2015,66.08
7,1985,60.71
7,1990,63.02
7,1995,60.80
7,2000,60.73
7,2005,61.23
7,2010,60.93
7,2015,62.51
9,1985,64.48
9,1990,66.35
9,1995,64.02
9,2000,63.55
9,2005,64.31
9,2010,63.70
9,2015,65.80
11,1985,64.29
11,1990,66.13
11,1995,63.64
11,2000,63.27
11,2005,64.01
11,2010,63.39
11,2015,65.62
13,1985,66.37
13,1990,68.08
13,1995,65.62
13,2000,65.54
13,2005,66.29
13,2010,65.62
13,2015,68.04
15,1985,64.77
15,1990,66.75
15,1995,64.42
15,2000,63.73
15,2005,64.67
15,2010,64.18
15,2015,66.38
17,1985,63.92
17,1990,65.88
17,1995,63.45
17,2000,63.21
17,2005,64.02
17,2010,63.59
17,2015,65.19
19,1985,65.63
19,1990,67.58
19,1995,65.22
19,2000,64.60
19,2005,65.46
19,2010,65.03
19,2015,66.97
21,1985,60.02
21,1990,61.80
21,1995,59.34
21,2000,59.47
21,2005,60.35
21,2010,59.69
21,2015,61.28
23,1985,61.09
23,1990,63.22
23,1995,60.59
23,2000,60.53
23,2005,61.32
23,2010,60.83
23,2015,62.32
25,1985,61.82
25,1990,63.88
25,1995,61.06
25,2000,60.84
25,2005,61.88
25,2010,61.54
25,2015,63.51
27,1985,64.05
27,1990,66.03
27,1995,63.49
27,2000,63.13
27,2005,63.99
27,2010,63.39
27,2015,65.38
29,1985,65.09
29,1990,66.81
29,1995,64.57
29,2000,64.26
29,2005,65.21
29,2010,64.50
29,2015,66.65
31,1985,62.90
31,1990,65.03
31,1995,62.10
31,2000,61.73
31,2005,62.89
31,2010,62.43
31,2015,64.68
33,1985,63.15
33,1990,64.83
33,1995,62.24
33,2000,61.92
33,2005,63.12
33,2010,62.66
33,2015,64.71
35,1985,64.87
35,1990,66.62
35,1995,64.47
35,2000,63.95
35,2005,65.00
35,2010,64.32
35,2015,66.57
37,1985,63.21
37,1990,65.08
37,1995,62.78
37,2000,62.48
37,2005,62.86
37,2010,62.47
37,2015,64.39
39,1985,62.17
39,1990,64.19
39,1995,61.54
39,2000,61.37
39,2005,62.22
39,2010,61.73
39,2015,63.50
41,1985,63.75
41,1990,65.68
41,1995,63.01
41,2000,62.51
41,2005,63.58
41,2010,62.96
41,2015,65.53
43,1985,64.42
