county,year,precip
3,1985,25.02
3,1990,20.85
3,1995,30.92
3,2000,18.31
3,2005,22.62
3,2010,32.20
3,2015,25.29
5,1985,23.11
5,1990,20.89
5,1995,29.45
5,2000,20.32
5,2005,23.65
5,2010,32.77
5,2015,24.52
7,1985,15.20
7,1990,17.80
7,1995,26.42
7,2000,18.90
7,2005,21.95
7,2010,20.02
7,2015,26.21
9,1985,24.43
9,1990,21.76
9,1995,31.81
9,2000,22.81
9,2005,29.40
9,2010,35.51
9,2015,29.42
11,1985,25.44
11,1990,26.37
11,1995,33.29
11,2000,24.32
11,2005,31.71
11,2010,37.45
11,2015,27.96
13,1985,18.31
13,1990,20.64
13,1995,23.88
13,2000,21.97
13,2005,22.23
13,2010,25.27
13,2015,21.43
15,1985,23.75
15,1990,20.95
15,1995,30.19
15,2000,15.73
15,2005,23.41
15,2010,28.47
15,2015,25.75
17,1985,21.31
17,1990,20.71
17,1995,27.78
17,2000,14.75
17,2005,21.61
17,2010,29.62
17,2015,23.28
19,1985,11.36
19,1990,10.31
19,1995,21.29
19,2000,15.60
19,2005,14.69
19,2010,17.48
19,2015,19.78
21,1985,14.93
21,1990,16.90
21,1995,22.56
21,2000,18.90
21,2005,17.80
21,2010,18.57
21,2015,19.54
23,1985,24.55
23,1990,20.64
23,1995,32.81
23,2000,18.76
23,2005,25.24
23,2010,30.79
23,2015,26.56
25,1985,25.71
25,1990,19.07
25,1995,28.12
25,2000,20.17
25,2005,23.43
25,2010,30.37
25,2015,22.56
27,1985,27.52
27,1990,23.89
27,1995,32.40
27,2000,24.59
27,2005,31.77
27,2010,36.41
27,2015,29.99
29,1985,25.95
29,1990,21.28
29,1995,28.75
29,2000,21.71
29,2005,24.66
29,2010,29.30
29,2015,24.18
31,1985,15.68
31,1990,13.37
31,1995,21.04
31,2000,17.32
31,2005,17.81
31,2010,20.48
31,2015,19.18
33,1985,12.56
33,1990,17.49
33,1995,22.05
33,2000,16.08
33,2005,16.58
33,2010,21.92
33,2015,23.97
35,1985,24.61
35,1990,21.69
35,1995,28.70
35,2000,22.05
35,2005,22.68
35,2010,32.27
35,2015,26.04
37,1985,21.58
37,1990,19.57
37,1995,28.88
37,2000,20.67
37,2005,25.34
37,2010,25.07
37,2015,21.84
39,1985,28.20
39,1990,25.97
39,1995,30.88
39,2000,21.77
39,2005,28.36
39,2010,31.97
39,2015,28.17
41,1985,16.24
41,1990,13.88
41,1995,22.16
41,2000,18.25
41,2005,15.89
41,2010,20.52
41,2015,19.04
43,1985,25.85
43,1990,20.60
43,1995,31.88
43,2000,19.79
43,2005,25.72
43,2010,31.17
43,2015,26.06
45,1985,18.14
45,1990,19.76
45,1995,24.72
45,2000,23.67
45,2005,18.80
45,2010,22.65
45,2015,20.92
47,1985,12.72
47,1990,16.76
47,1995,19.31
47,2000,16.68
47,2005,17.72
47,2010,19.65
47,2015,22.40
49,1985,20.07
49,1990,19.32
49,1995,24.09
49,2000,21.90
49,2005,20.04
49,2010,24.14
49,2015,21.18
51,1985,26.23
51,1990,22.42
51,1995,32.77
51,2000,22.28
51,2005,26.08
51,2010,29.15
51,2015,23.89
53,1985,24.04
53,1990,23.09
53,1995,33.31
53,2000,17.11
53,2005,24.21
53,2010,28.91
53,2015,25.71
55,1985,14.03
55,1990,12.69
55,1995,21.40
55,2000,16.47
55,2005,16.41
55,2010,19.62
55,2015,21.39
57,1985,27.69
57,1990,23.12
57,1995,28.59
57,2000,21.78
57,2005,25.69
57,2010,30.61
57,2015,26.48
59,1985,22.48
59,1990,18.91
59,1995,27.07
59,2000,19.50
59,2005,21.49
59,2010,30.76
59,2015,24.27
61,1985,23.55
61,1990,21.79
61,1995,28.36
61,2000,23.68
61,2005,23.53
61,2010,33.31
61,2015,25.27
63,1985,12.11
63,1990,8.26
63,1995,19.62
63,2000,14.24
63,2005,13.46
63,2010,18.76
63,2015,17.77
65,1985,18.43
65,1990,17.07
65,1995,25.09
65,2000,14.62
65,2005,15.88
65,2010,24.62
65,2015,19.77
67,1985,24.87
67,1990,20.68
67,1995,30.18
67,2000,23.24
67,2005,25.89
67,2010,35.09
67,2015,27.97
69,1985,20.83
69,1990,18.55
69,1995,25.63
69,2000,16.67
69,2005,18.94
69,2010,27.02
69,2015,21.72
71,1985,14.23
71,1990,16.23
71,1995,23.48
71,2000,16.25
71,2005,20.02
71,2010,19.87
71,2015,24.63
73,1985,22.16
73,1990,20.94
73,1995,31.41
73,2000,17.63
73,2005,23.39
73,2010,35.81
73,2015,26.36
75,1985,17.66
75,1990,15.77
75,1995,25.24
75,2000,14.97
75,2005,18.00
