county,year,temp
3,1985,43.88
3,1990,48.43
3,1995,45.79
3,2000,47.46
3,2005,48.59
3,2010,46.68
3,2015,48.37
5,1985,42.62
5,1990,47.07
5,1995,44.49
5,2000,46.14
5,2005,47.40
5,2010,45.60
5,2015,47.42
7,1985,44.67
7,1990,48.02
7,1995,46.63
7,2000,47.77
7,2005,48.55
7,2010,47.23
7,2015,48.81
9,1985,45.70
9,1990,49.51
9,1995,47.13
9,2000,48.66
9,2005,49.87
9,2010,48.10
9,2015,49.71
11,1985,40.98
11,1990,44.65
11,1995,42.40
11,2000,43.99
11,2005,45.34
11,2010,43.76
11,2015,45.64
13,1985,40.33
13,1990,44.48
13,1995,41.81
13,2000,43.36
13,2005,44.96
13,2010,43.57
13,2015,45.52
15,1985,44.18
15,1990,48.67
15,1995,46.18
15,2000,47.82
15,2005,49.08
15,2010,46.99
15,2015,49.23
17,1985,43.38
17,1990,47.95
17,1995,45.37
17,2000,46.93
17,2005,47.99
17,2010,45.99
17,2015,48.08
19,1985,42.94
19,1990,46.95
19,1995,45.48
19,2000,46.20
19,2005,47.36
19,2010,44.56
19,2015,47.57
21,1985,40.84
21,1990,44.98
21,1995,42.06
21,2000,43.50
21,2005,45.42
21,2010,42.84
21,2015,45.62
23,1985,45.46
23,1990,49.52
23,1995,47.18
23,2000,48.69
23,2005,49.87
23,2010,47.98
23,2015,49.83
25,1985,40.37
25,1990,44.78
25,1995,42.13
25,2000,44.07
25,2005,45.30
25,2010,43.62
25,2015,46.00
27,1985,45.59
27,1990,49.08
27,1995,46.83
27,2000,47.95
27,2005,49.62
27,2010,47.41
27,2015,49.38
29,1985,39.61
29,1990,43.82
29,1995,41.05
29,2000,42.83
29,2005,44.13
29,2010,42.62
29,2015,44.85
31,1985,41.63
31,1990,45.78
31,1995,43.00
31,2000,44.06
31,2005,45.64
31,2010,42.66
31,2015,46.11
33,1985,43.33
33,1990,46.58
33,1995,45.20
33,2000,46.46
33,2005,47.50
33,2010,45.76
33,2015,47.64
35,1985,44.20
35,1990,48.38
35,1995,46.08
35,2000,47.40
35,2005,48.95
35,2010,46.96
35,2015,47.91
37,1985,39.70
37,1990,43.99
37,1995,40.93
37,2000,42.76
37,2005,44.04
37,2010,42.59
37,2015,44.76
39,1985,40.24
39,1990,44.39
39,1995,41.77
39,2000,43.32
39,2005,44.78
39,2010,43.29
39,2015,44.99
41,1985,42.67
41,1990,46.77
41,1995,44.02
41,2000,45.29
41,2005,47.05
41,2010,43.98
41,2015,47.48
43,1985,44.59
43,1990,48.90
43,1995,46.41
43,2000,47.78
43,2005,49.05
43,2010,47.24
43,2015,48.87
45,1985,40.58
45,1990,44.64
45,1995,41.82
45,2000,43.32
45,2005,45.23
45,2010,43.18
45,2015,45.30
47,1985,45.07
47,1990,48.43
47,1995,47.31
47,2000,48.16
47,2005,49.10
47,2010,47.58
47,2015,49.17
49,1985,41.13
49,1990,45.32
49,1995,42.64
49,2000,44.40
49,2005,45.85
49,2010,43.59
49,2015,45.80
51,1985,40.62
51,1990,44.74
51,1995,42.12
51,2000,43.48
51,2005,45.03
51,2010,43.68
51,2015,45.66
53,1985,45.07
53,1990,49.16
53,1995,47.11
53,2000,48.39
53,2005,49.71
53,2010,47.68
53,2015,49.77
55,1985,44.39
55,1990,48.45
55,1995,46.14
55,2000,47.30
55,2005,48.74
55,2010,46.03
55,2015,48.83
57,1985,40.09
57,1990,44.37
57,1995,41.86
57,2000,43.72
57,2005,44.81
57,2010,43.17
57,2015,45.62
59,1985,42.30
59,1990,46.43
59,1995,43.86
59,2000,45.38
59,2005,46.71
59,2010,44.60
59,2015,46.74
61,1985,44.03
61,1990,48.18
61,1995,45.80
61,2000,47.13
61,2005,48.80
61,2010,46.79
61,2015,47.55
63,1985,40.98
63,1990,45.34
63,1995,43.56
63,2000,44.16
63,2005,45.52
63,2010,42.48
63,2015,46.03
65,1985,43.48
65,1990,47.88
65,1995,45.40
65,2000,46.71
65,2005,48.18
65,2010,45.61
65,2015,48.31
67,1985,44.66
67,1990,48.82
67,1995,46.23
67,2000,47.71
67,2005,49.15
67,2010,47.11
67,2015,48.70
