county,year,precip
1,1985,41.80
1,1990,58.48
1,1995,50.77
1,2000,47.26
1,2005,45.40
1,2010,58.22
1,2015,59.49
3,1985,41.18
3,1990,62.32
3,1995,59.09
3,2000,52.92
3,2005,44.31
3,2010,48.90
3,2015,60.17
5,1985,45.91
5,1990,64.47
5,1995,49.50
5,2000,39.37
5,2005,44.45
5,2010,44.85
5,2015,54.99
7,1985,47.28
7,1990,66.84
7,1995,61.04
7,2000,51.24
7,2005,47.50
7,2010,47.86
7,2015,68.49
9,1985,42.10
9,1990,63.09
9,1995,52.16
9,2000,48.77
9,2005,45.09
9,2010,49.75
9,2015,59.78
11,1985,39.46
11,1990,68.51
11,1995,57.12
11,2000,47.96
11,2005,47.20
11,2010,45.03
11,2015,66.70
13,1985,42.41
13,1990,56.22
13,1995,51.71
13,2000,42.33
13,2005,44.72
13,2010,56.86
13,2015,58.96
15,1985,42.15
15,1990,57.14
15,1995,56.42
15,2000,50.24
15,2005,41.40
15,2010,52.44
15,2015,61.98
17,1985,43.79
17,1990,67.71
17,1995,48.37
17,2000,39.47
17,2005,46.26
17,2010,45.62
17,2015,56.30
19,1985,44.29
19,1990,54.23
19,1995,51.34
19,2000,40.67
19,2005,42.36
19,2010,44.73
19,2015,56.43
21,1985,43.09
21,1990,55.63
21,1995,53.43
21,2000,40.37
21,2005,43.93
21,2010,48.60
21,2015,52.23
23,1985,46.85
23,1990,62.92
23,1995,48.25
23,2000,38.33
23,2005,48.73
23,2010,51.42
23,2015,56.98
25,1985,39.31
25,1990,56.50
25,1995,48.61
25,2000,40.85
25,2005,39.88
25,2010,50.70
25,2015,55.03
27,1985,42.05
27,1990,55.08
27,1995,52.24
27,2000,45.61
27,2005,37.63
27,2010,54.11
27,2015,54.79
29,1985,38.08
29,1990,51.09
29,1995,48.76
29,2000,46.58
29,2005,42.64
29,2010,48.45
29,2015,54.51
31,1985,42.60
31,1990,65.57
31,1995,58.71
31,2000,53.92
31,2005,43.15
31,2010,50.23
31,2015,64.36
33,1985,44.80
33,1990,68.53
33,1995,44.83
33,2000,39.09
33,2005,44.88
33,2010,47.12
33,2015,56.42
35,1985,45.96
35,1990,60.72
35,1995,58.48
35,2000,47.71
35,2005,47.21
35,2010,53.27
35,2015,67.99
37,1985,37.24
37,1990,52.96
37,1995,52.42
37,2000,43.44
37,2005,42.15
37,2010,54.94
37,2015,52.09
39,1985,45.09
39,1990,58.77
39,1995,53.56
39,2000,37.34
39,2005,43.85
39,2010,52.37
39,2015,59.46
41,1985,40.86
41,1990,57.19
41,1995,54.89
41,2000,49.49
41,2005,43.50
41,2010,49.38
41,2015,62.87
43,1985,43.69
43,1990,56.94
43,1995,54.24
43,2000,39.83
43,2005,44.88
43,2010,50.24
43,2015,53.34
45,1985,45.12
45,1990,68.85
45,1995,44.00
45,2000,41.01
45,2005,40.83
45,2010,36.61
45,2015,55.99
47,1985,47.64
47,1990,62.38
47,1995,45.41
47,2000,38.84
47,2005,41.45
47,2010,53.90
47,2015,57.26
49,1985,42.91
49,1990,54.31
49,1995,55.04
49,2000,48.65
49,2005,44.56
49,2010,57.53
49,2015,62.53
51,1985,44.29
51,1990,73.11
51,1995,58.75
51,2000,56.77
51,2005,47.29
51,2010,50.18
51,2015,67.50
53,1985,45.98
53,1990,68.76
53,1995,45.90
53,2000,41.86
53,2005,46.33
53,2010,44.50
53,2015,57.17
55,1985,42.16
55,1990,61.62
55,1995,55.61
55,2000,51.11
55,2005,49.81
55,2010,47.66
55,2015,59.14
57,1985,36.60
57,1990,53.72
57,1995,46.90
57,2000,40.43
57,2005,38.03
57,2010,45.66
57,2015,53.95
59,1985,36.95
59,1990,47.14
59,1995,45.73
59,2000,42.37
59,2005,39.25
59,2010,41.99
59,2015,50.55
61,1985,46.83
61,1990,71.95
61,1995,60.00
61,2000,57.58
61,2005,50.28
61,2010,54.14
61,2015,72.91
63,1985,36.06
63,1990,48.38
63,1995,45.10
63,2000,39.14
63,2005,36.49
63,2010,41.44
63,2015,53.25
65,1985,42.36
65,1990,69.90
65,1995,57.63
65,2000,50.00
65,2005,48.89
65,2010,44.07
