county,year,temp
1,1985,56.08
1,1990,58.40
1,1995,56.45
1,2000,56.80
1,2005,57.49
1,2010,56.57
1,2015,58.43
3,1985,58.25
3,1990,60.27
3,1995,58.02
3,2000,58.59
3,2005,59.27
3,2010,58.47
3,2015,59.35
5,1985,58.09
5,1990,60.04
5,1995,58.21
5,2000,59.02
5,2005,59.56
5,2010,59.03
5,2015,59.35
7,1985,56.18
7,1990,58.11
7,1995,55.76
7,2000,56.55
7,2005,57.16
7,2010,56.53
7,2015,58.32
9,1985,57.23
9,1990,59.20
9,1995,57.21
9,2000,57.61
9,2005,58.27
9,2010,57.48
9,2015,58.72
11,1985,58.67
11,1990,60.68
11,1995,58.56
11,2000,59.16
11,2005,59.53
11,2010,58.90
11,2015,60.34
13,1985,54.52
13,1990,56.85
13,1995,54.85
13,2000,55.14
13,2005,56.00
13,2010,54.72
13,2015,56.41
15,1985,57.27
15,1990,59.33
15,1995,57.10
15,2000,57.77
15,2005,58.54
15,2010,57.48
15,2015,59.02
17,1985,57.97
17,1990,60.20
17,1995,58.35
17,2000,59.01
17,2005,59.69
17,2010,59.16
17,2015,59.42
19,1985,52.59
19,1990,55.23
19,1995,52.76
19,2000,53.16
19,2005,54.21
19,2010,52.93
19,2015,55.03
21,1985,57.47
21,1990,59.72
21,1995,57.72
21,2000,58.25
21,2005,59.40
21,2010,58.60
21,2015,59.58
23,1985,58.62
23,1990,60.93
23,1995,59.17
23,2000,59.82
23,2005,60.36
23,2010,59.71
23,2015,60.26
25,1985,54.94
25,1990,57.26
25,1995,55.12
25,2000,55.62
25,2005,56.38
25,2010,55.12
25,2015,56.11
27,1985,56.93
27,1990,58.95
27,1995,56.78
27,2000,57.21
27,2005,58.14
27,2010,57.07
27,2015,58.40
29,1985,56.53
29,1990,58.47
29,1995,56.43
29,2000,56.69
29,2005,57.55
29,2010,56.51
29,2015,58.32
31,1985,57.17
31,1990,59.36
31,1995,57.17
31,2000,57.67
31,2005,58.32
31,2010,57.38
31,2015,58.65
33,1985,58.50
33,1990,60.81
33,1995,59.14
33,2000,59.58
33,2005,60.57
33,2010,59.98
33,2015,60.42
35,1985,54.43
35,1990,56.57
35,1995,54.28
35,2000,54.93
35,2005,55.74
35,2010,55.01
35,2015,56.71
37,1985,57.93
37,1990,60.18
37,1995,58.17
37,2000,58.62
37,2005,59.64
37,2010,58.80
37,2015,59.98
39,1985,58.72
39,1990,60.46
39,1995,58.54
39,2000,59.57
39,2005,60.43
39,2010,59.25
39,2015,60.46
41,1985,57.36
41,1990,59.37
41,1995,57.06
41,2000,57.63
41,2005,58.54
41,2010,57.63
41,2015,58.97
43,1985,57.07
43,1990,59.26
43,1995,57.26
43,2000,57.94
43,2005,58.82
43,2010,57.99
