county,year,precip
1,1985,42.60
1,1990,58.67
1,1995,38.44
1,2000,50.21
1,2005,27.08
1,2010,33.07
1,2015,64.50
3,1985,18.72
3,1990,15.01
3,1995,14.73
3,2000,13.59
3,2005,14.27
3,2010,15.81
3,2015,21.77
5,1985,47.63
5,1990,53.68
5,1995,54.93
5,2000,53.67
5,2005,37.30
5,2010,28.67
5,2015,71.19
7,1985,35.61
7,1990,31.35
7,1995,35.19
7,2000,34.69
7,2005,29.92
7,2010,41.22
7,2015,49.79
9,1985,30.35
9,1990,38.81
9,1995,31.77
9,2000,27.80
9,2005,28.47
9,2010,33.34
9,2015,50.48
11,1985,27.78
11,1990,17.87
11,1995,22.70
11,2000,19.98
11,2005,16.26
11,2010,24.73
11,2015,34.58
13,1985,34.10
13,1990,27.74
13,1995,22.65
13,2000,30.79
13,2005,18.64
13,2010,32.26
13,2015,34.57
15,1985,45.67
15,1990,34.72
15,1995,39.47
15,2000,45.66
15,2005,31.06
15,2010,32.34
15,2015,67.44
17,1985,23.16
17,1990,13.07
17,1995,13.43
17,2000,15.65
17,2005,16.97
17,2010,17.85
17,2015,28.70
19,1985,30.89
19,1990,33.32
19,1995,28.33
19,2000,37.05
19,2005,24.46
19,2010,33.05
19,2015,43.21
21,1985,37.03
21,1990,30.35
21,1995,35.02
21,2000,39.83
21,2005,27.26
21,2010,31.77
21,2015,57.19
23,1985,26.63
23,1990,34.94
23,1995,31.32
23,2000,25.71
23,2005,27.84
23,2010,33.04
23,2015,43.20
25,1985,36.23
25,1990,31.37
25,1995,24.65
25,2000,30.73
25,2005,25.38
25,2010,40.84
25,2015,41.92
27,1985,37.92
27,1990,34.84
27,1995,27.32
27,2000,40.34
27,2005,29.59
27,2010,31.81
27,2015,49.43
29,1985,38.43
29,1990,31.95
29,1995,25.35
29,2000,36.08
29,2005,20.36
29,2010,32.95
29,2015,40.01
31,1985,33.66
31,1990,32.94
31,1995,30.45
31,2000,35.13
31,2005,23.02
31,2010,34.31
31,2015,44.37
33,1985,23.82
33,1990,23.96
33,1995,19.09
33,2000,17.68
33,2005,18.01
33,2010,25.90
33,2015,27.96
35,1985,28.41
35,1990,39.07
35,1995,39.83
35,2000,35.95
35,2005,21.76
35,2010,34.66
35,2015,56.35
37,1985,48.90
37,1990,68.52
37,1995,38.83
37,2000,58.64
37,2005,28.52
37,2010,36.08
37,2015,69.69
39,1985,48.58
39,1990,43.40
39,1995,52.81
39,2000,41.91
39,2005,35.88
39,2010,46.74
39,2015,65.87
41,1985,39.47
41,1990,38.22
41,1995,40.96
41,2000,40.00
