county,year,temp
1,1985,65.15
1,1990,66.50
1,1995,65.74
1,2000,66.63
1,2005,66.94
1,2010,65.77
1,2015,66.77
3,1985,61.99
3,1990,62.77
3,1995,63.06
3,2000,64.12
3,2005,63.14
3,2010,62.63
3,2015,63.12
5,1985,66.00
5,1990,67.21
5,1995,66.49
5,2000,67.32
5,2005,67.54
5,2010,66.88
5,2015,67.36
7,1985,70.38
7,1990,71.83
7,1995,71.15
7,2000,72.39
7,2005,72.17
7,2010,70.90
7,2015,71.94
9,1985,62.76
9,1990,64.18
9,1995,63.09
9,2000,65.21
9,2005,64.21
9,2010,63.78
9,2015,64.57
11,1985,57.88
11,1990,59.26
11,1995,58.78
11,2000,59.89
11,2005,59.46
11,2010,59.02
11,2015,59.78
13,1985,69.15
13,1990,71.12
13,1995,70.45
13,2000,71.55
13,2005,70.87
13,2010,69.08
13,2015,70.72
15,1985,68.04
15,1990,69.86
15,1995,68.73
15,2000,69.83
15,2005,69.98
15,2010,68.42
15,2015,69.60
17,1985,56.98
17,1990,57.70
17,1995,58.18
17,2000,59.45
17,2005,58.83
17,2010,58.42
17,2015,58.38
19,1985,65.64
19,1990,66.77
19,1995,66.33
19,2000,67.83
19,2005,67.40
19,2010,65.99
19,2015,67.05
21,1985,67.17
21,1990,68.91
21,1995,67.75
21,2000,69.32
21,2005,69.21
21,2010,67.57
21,2015,68.98
23,1985,62.66
23,1990,64.10
23,1995,63.19
23,2000,65.27
23,2005,64.26
23,2010,63.75
23,2015,64.49
25,1985,69.97
25,1990,72.18
25,1995,71.29
25,2000,72.59
25,2005,72.12
25,2010,70.31
25,2015,70.77
27,1985,65.78
27,1990,67.33
27,1995,66.33
27,2000,67.67
27,2005,67.43
27,2010,66.44
27,2015,67.28
29,1985,67.98
29,1990,69.55
29,1995,68.70
29,2000,70.16
29,2005,69.91
29,2010,68.18
29,2015,69.62
31,1985,66.13
31,1990,67.21
31,1995,66.24
31,2000,67.64
31,2005,67.53
31,2010,65.99
31,2015,67.04
33,1985,62.53
33,1990,63.73
33,1995,63.36
33,2000,64.87
33,2005,63.56
33,2010,63.18
33,2015,63.58
35,1985,65.08
35,1990,66.25
35,1995,65.28
35,2000,66.77
35,2005,66.68
35,2010,65.81
35,2015,65.99
37,1985,63.15
37,1990,64.21
37,1995,63.44
37,2000,63.79
37,2005,65.07
37,2010,63.81
37,2015,64.56
39,1985,68.94
39,1990,70.65
39,1995,69.92
39,2000,70.86
39,2005,70.75
39,2010,69.27
39,2015,70.52
41,1985,67.17
41,1990,68.59
41,1995,67.31
41,2000,68.58
41,2005,68.48
41,2010,67.42
41,2015,67.90
43,1985,64.68
43,1990,65.44
43,1995,66.17
43,2000,66.97
43,2005,66.17
43,2010,65.39
43,2015,66.10
45,1985,59.07
45,1990,60.70
45,1995,60.22
45,2000,61.24
45,2005,60.82
45,2010,60.27
45,2015,60.87
47,1985,72.35
47,1990,74.18
47,1995,73.61
47,2000,74.92
47,2005,74.14
47,2010,72.17
47,2015,72.92
49,1985,64.10
49,1990,64.94
49,1995,64.52
49,2000,66.57
49,2005,65.29
49,2010,65.10
49,2015,65.65
51,1985,67.16
51,1990,68.62
51,1995,67.37
51,2000,68.83
51,2005,68.58
51,2010,67.44
51,2015,68.36
53,1985,66.02
53,1990,67.00
53,1995,66.23
53,2000,67.28
53,2005,67.34
53,2010,65.87
53,2015,66.82
55,1985,67.59
55,1990,69.33
55,1995,68.20
55,2000,69.65
55,2005,69.53
55,2010,67.83
55,2015,69.40
57,1985,69.81
57,1990,71.04
57,1995,70.62
57,2000,71.79
57,2005,71.58
57,2010,70.12
57,2015,71.71
59,1985,63.03
59,1990,64.25
59,1995,63.57
59,2000,65.86
59,2005,64.31
59,2010,64.08
59,2015,64.41
61,1985,73.32
61,1990,75.01
61,1995,74.32
61,2000,75.49
61,2005,75.44
61,2010,73.74
61,2015,74.24
63,1985,63.64
63,1990,65.08
63,1995,64.46
63,2000,64.92
63,2005,65.89
63,2010,64.37
63,2015,65.59
65,1985,56.95
65,1990,58.11
65,1995,57.34
65,2000,58.52
65,2005,58.27
65,2010,57.85
65,2015,59.11
67,1985,63.88
67,1990,65.16
67,1995,64.46
67,2000,64.88
67,2005,65.90
67,2010,64.62
67,2015,65.27
69,1985,56.50
69,1990,57.57
69,1995,57.50
69,2000,58.48
69,2005,57.88
69,2010,57.76
69,2015,57.78
71,1985,68.29
71,1990,69.45
71,1995,69.06
71,2000,69.93
71,2005,69.92
71,2010,68.32
71,2015,70.02
73,1985,64.99
73,1990,66.58
73,1995,65.90
73,2000,66.77
73,2005,67.00
73,2010,65.86
73,2015,66.79
75,1985,60.75
75,1990,62.62
75,1995,61.53
75,2000,62.70
75,2005,62.47
75,2010,62.01
75,2015,62.94
77,1985,62.18
77,1990,64.02
77,1995,62.94
77,2000,64.55
77,2005,64.09
77,2010,63.82
77,2015,64.29
79,1985,58.12
79,1990,58.98
79,1995,59.38
79,2000,60.26
79,2005,59.82
79,2010,59.41
79,2015,59.18
81,1985,63.38
81,1990,64.38
81,1995,64.11
81,2000,66.42
81,2005,64.66
81,2010,64.14
81,2015,64.72
83,1985,63.91
83,1990,64.67
83,1995,64.28
83,2000,66.73
83,2005,65.32
83,2010,65.03
83,2015,65.22
85,1985,63.59
85,1990,64.83
85,1995,63.91
85,2000,64.66
85,2005,65.49
85,2010,64.72
85,2015,65.17
87,1985,59.40
87,1990,61.09
87,1995,60.02
87,2000,61.01
87,2005,60.87
87,2010,60.58
87,2015,61.12
89,1985,68.14
89,1990,70.00
89,1995,69.02
89,2000,70.20
89,2005,70.05
89,2010,68.48
89,2015,69.78
91,1985,66.84
91,1990,68.56
91,1995,67.48
91,2000,68.95
91,2005,68.80
91,2010,67.35
91,2015,68.31
93,1985,63.90
93,1990,64.89
93,1995,64.42
93,2000,66.11
93,2005,65.10
93,2010,64.62
93,2015,65.99
95,1985,64.01
95,1990,64.72
95,1995,64.20
95,2000,66.82
95,2005,65.12
95,2010,64.58
95,2015,65.45
97,1985,62.97
97,1990,64.27
97,1995,63.35
97,2000,64.17
97,2005,64.70
97,2010,63.85
97,2015,64.22
99,1985,65.34
99,1990,66.67
99,1995,65.59
99,2000,66.92
99,2005,66.83
99,2010,66.02
99,2015,66.37
101,1985,61.28
101,1990,63.07
101,1995,62.09
101,2000,63.54
101,2005,63.12
101,2010,62.30
101,2015,63.17
103,1985,64.70
103,1990,65.28
103,1995,66.05
103,2000,67.44
103,2005,66.05
103,2010,65.97
103,2015,65.92
105,1985,64.34
105,1990,65.03
105,1995,65.39
105,2000,66.87
105,2005,65.87
105,2010,65.10
105,2015,65.50
107,1985,59.98
107,1990,61.17
107,1995,60.89
107,2000,62.17
107,2005,61.56
107,2010,60.83
107,2015,61.19
109,1985,61.13
109,1990,61.92
109,1995,62.73
109,2000,63.47
109,2005,62.54
109,2010,62.55
109,2015,62.78
111,1985,54.08
111,1990,54.42
111,1995,54.92
111,2000,56.44
111,2005,55.72
111,2010,55.68
111,2015,56.73
113,1985,64.71
113,1990,66.09
113,1995,65.25
113,2000,66.27
113,2005,67.09
113,2010,66.03
113,2015,66.45
115,1985,61.62
115,1990,62.79
115,1995,62.22
115,2000,63.67
115,2005,62.49
115,2010,62.00
115,2015,62.61
117,1985,55.72
117,1990,56.43
117,1995,56.72
117,2000,57.82
117,2005,57.09
117,2010,57.01
117,2015,57.36
119,1985,63.07
119,1990,64.51
119,1995,63.75
119,2000,64.12
119,2005,65.14
119,2010,64.08
119,2015,65.07
121,1985,64.25
121,1990,65.47
121,1995,64.51
121,2000,65.38
121,2005,66.28
121,2010,65.16
121,2015,65.48
123,1985,68.98
123,1990,70.66
123,1995,69.67
123,2000,71.05
123,2005,70.53
123,2010,68.67
123,2015,70.17
125,1985,60.92
125,1990,62.38
125,1995,61.73
125,2000,63.14
125,2005,62.49
125,2010,61.70
125,2015,62.44
127,1985,70.10
127,1990,71.47
127,1995,71.48
127,2000,72.78
127,2005,72.23
127,2010,70.42
127,2015,71.27
129,1985,58.49
129,1990,60.19
129,1995,59.32
129,2000,60.38
129,2005,60.37
129,2010,59.63
129,2015,60.30
131,1985,71.21
131,1990,72.84
131,1995,72.19
131,2000,73.66
131,2005,72.91
131,2010,71.35
131,2015,71.57
133,1985,63.14
133,1990,64.29
133,1995,63.75
133,2000,65.72
133,2005,64.60
133,2010,64.15
133,2015,64.83
135,1985,62.97
135,1990,63.83
135,1995,64.25
135,2000,65.58
135,2005,64.26
135,2010,64.09
135,2015,64.49
137,1985,64.83
137,1990,65.38
137,1995,65.38
137,2000,66.94
137,2005,66.06
137,2010,65.12
137,2015,65.55
139,1985,65.05
139,1990,66.41
139,1995,65.53
139,2000,66.64
139,2005,67.02
139,2010,66.02
139,2015,66.59
141,1985,62.20
141,1990,62.85
141,1995,64.03
141,2000,64.61
141,2005,64.21
141,2010,63.52
141,2015,64.72
143,1985,63.71
143,1990,64.77
143,1995,64.16
143,2000,65.91
143,2005,65.25
143,2010,64.25
143,2015,65.52
145,1985,65.96
145,1990,67.26
145,1995,66.14
145,2000,67.48
145,2005,67.21
145,2010,66.62
145,2015,66.97
147,1985,62.88
147,1990,64.01
147,1995,63.09
147,2000,63.46
147,2005,64.55
147,2010,63.66
147,2015,64.57
149,1985,67.62
149,1990,69.37
149,1995,68.28
149,2000,69.55
149,2005,69.42
149,2010,67.73
149,2015,69.36
151,1985,62.32
151,1990,63.51
151,1995,63.34
151,2000,65.03
151,2005,64.30
151,2010,63.93
151,2015,64.58
153,1985,58.53
153,1990,59.91
153,1995,59.60
153,2000,60.79
153,2005,60.18
153,2010,59.67
153,2015,59.86
155,1985,61.62
155,1990,63.37
155,1995,62.63
155,2000,64.29
155,2005,63.58
155,2010,62.79
155,2015,63.51
157,1985,68.57
157,1990,70.52
157,1995,69.73
157,2000,70.59
157,2005,70.67
157,2010,69.17
157,2015,70.80
159,1985,63.24
159,1990,64.91
159,1995,64.03
159,2000,64.52
159,2005,65.61
159,2010,64.23
159,2015,65.13
161,1985,65.45
161,1990,66.67
161,1995,65.71
161,2000,66.88
161,2005,66.88
161,2010,65.92
161,2015,66.84
163,1985,69.03
163,1990,70.72
163,1995,70.04
163,2000,71.40
163,2005,70.84
163,2010,69.38
163,2015,71.05
165,1985,60.86
165,1990,61.77
165,1995,61.65
165,2000,62.83
165,2005,61.88
165,2010,61.35
165,2015,61.47
167,1985,68.93
167,1990,70.45
167,1995,69.90
167,2000,70.71
167,2005,70.74
167,2010,69.07
167,2015,70.44
169,1985,61.93
169,1990,63.19
169,1995,62.87
169,2000,64.27
169,2005,63.23
169,2010,62.64
169,2015,62.98
171,1985,64.73
171,1990,65.82
171,1995,65.16
171,2000,66.55
171,2005,66.33
171,2010,64.78
171,2015,65.47
173,1985,62.80
173,1990,63.78
173,1995,64.18
173,2000,65.62
173,2005,64.01
173,2010,63.52
173,2015,64.22
175,1985,69.58
175,1990,71.52
175,1995,70.73
175,2000,72.07
175,2005,71.51
175,2010,69.81
175,2015,70.76
177,1985,68.42
177,1990,70.18
177,1995,68.98
177,2000,70.29
177,2005,70.03
177,2010,68.16
177,2015,69.87
179,1985,56.97
179,1990,58.44
179,1995,57.52
179,2000,58.61
179,2005,58.74
179,2010,58.43
179,2015,59.12
181,1985,62.93
181,1990,64.31
181,1995,63.20
181,2000,63.84
181,2005,64.74
181,2010,63.75
181,2015,64.41
183,1985,64.82
183,1990,66.11
183,1995,65.48
183,2000,65.91
183,2005,66.41
183,2010,65.41
183,2015,65.88
185,1985,67.43
185,1990,68.79
185,1995,67.67
185,2000,68.75
185,2005,68.73
185,2010,67.25
185,2015,68.07
187,1985,67.98
187,1990,69.68
187,1995,68.56
187,2000,69.95
187,2005,69.78
187,2010,67.99
187,2015,69.55
189,1985,57.87
189,1990,59.11
189,1995,59.06
189,2000,60.14
189,2005,59.58
189,2010,59.29
189,2015,59.28
191,1985,60.51
191,1990,62.41
191,1995,61.37
191,2000,62.42
191,2005,62.28
191,2010,61.59
191,2015,62.53
193,1985,64.68
193,1990,65.58
193,1995,64.83
193,2000,66.14
193,2005,65.80
193,2010,65.08
193,2015,65.92
195,1985,56.45
195,1990,57.26
195,1995,56.95
195,2000,58.30
195,2005,57.98
195,2010,57.66
195,2015,58.51
197,1985,61.14
197,1990,62.73
197,1995,62.12
197,2000,63.49
197,2005,62.94
197,2010,62.34
197,2015,63.24
199,1985,66.96
199,1990,68.26
199,1995,67.58
199,2000,68.38
199,2005,68.60
199,2010,67.19
199,2015,68.67
201,1985,68.54
201,1990,70.07
201,1995,69.40
201,2000,70.19
201,2005,70.18
201,2010,68.78
201,2015,70.15
203,1985,64.88
203,1990,66.31
203,1995,65.47
203,2000,65.91
203,2005,66.52
203,2010,65.72
203,2015,65.81
205,1985,55.12
205,1990,55.39
205,1995,55.95
205,2000,57.42
205,2005,56.37
205,2010,56.62
205,2015,57.54
207,1985,62.51
207,1990,64.08
207,1995,63.39
207,2000,65.36
207,2005,64.19
207,2010,63.75
207,2015,64.65
209,1985,66.66
209,1990,68.21
209,1995,67.26
209,2000,68.66
209,2005,68.67
209,2010,67.13
209,2015,67.79
211,1985,57.28
211,1990,58.74
211,1995,57.44
211,2000,58.67
211,2005,58.75
211,2010,58.56
211,2015,59.35
213,1985,64.73
213,1990,65.97
213,1995,65.27
213,2000,65.93
213,2005,66.44
213,2010,65.36
213,2015,66.47
215,1985,73.69
215,1990,75.43
215,1995,74.52
215,2000,75.84
215,2005,75.47
215,2010,73.67
215,2015,73.88
217,1985,65.17
217,1990,66.68
217,1995,65.61
217,2000,67.03
217,2005,66.90
217,2010,66.08
217,2015,66.38
219,1985,58.97
219,1990,59.96
219,1995,60.13
219,2000,60.91
219,2005,60.54
219,2010,60.06
219,2015,59.97
221,1985,64.54
221,1990,65.83
221,1995,64.98
221,2000,66.39
221,2005,66.28
221,2010,65.31
221,2015,65.58
223,1985,63.24
223,1990,64.77
223,1995,63.97
223,2000,64.38
223,2005,65.42
223,2010,64.29
223,2015,65.33
225,1985,66.06
225,1990,67.30
225,1995,66.60
225,2000,67.36
225,2005,67.54
225,2010,66.34
225,2015,67.24
227,1985,62.95
227,1990,64.06
227,1995,63.93
