county,year,precip
1,1985,15.00
1,1990,14.77
1,1995,13.03
1,2000,14.77
1,2005,17.09
1,2010,17.37
1,2015,14.04
3,1985,10.90
3,1990,9.75
3,1995,17.16
3,2000,11.63
3,2005,17.90
3,2010,13.59
3,2015,14.63
5,1985,28.03
5,1990,23.68
5,1995,33.94
5,2000,26.14
5,2005,37.59
5,2010,31.62
5,2015,26.51
7,1985,16.58
7,1990,12.16
7,1995,16.55
7,2000,16.15
7,2005,17.84
7,2010,16.79
7,2015,16.56
9,1985,15.00
9,1990,14.36
9,1995,16.30
9,2000,14.60
9,2005,14.62
9,2010,15.43
9,2015,16.31
11,1985,25.61
11,1990,20.18
11,1995,30.03
11,2000,25.62
11,2005,30.40
11,2010,29.27
11,2015,25.02
13,1985,18.89
13,1990,16.76
13,1995,19.99
13,2000,18.05
13,2005,18.99
13,2010,21.33
13,2015,18.39
15,1985,11.35
15,1990,7.36
15,1995,10.62
15,2000,9.32
15,2005,11.37
15,2010,11.66
15,2015,12.59
17,1985,14.19
17,1990,11.22
17,1995,12.75
17,2000,11.76
17,2005,16.55
17,2010,19.18
17,2015,18.71
19,1985,15.24
19,1990,10.06
19,1995,11.91
19,2000,10.88
19,2005,13.55
19,2010,13.97
19,2015,16.18
21,1985,14.91
21,1990,15.16
21,1995,15.45
21,2000,15.38
21,2005,19.42
21,2010,20.75
21,2015,17.14
23,1985,13.26
23,1990,10.21
23,1995,14.13
23,2000,13.53
23,2005,15.14
23,2010,14.47
23,2015,11.11
25,1985,12.69
25,1990,10.30
25,1995,13.40
25,2000,11.29
25,2005,16.29
25,2010,18.04
25,2015,16.84
27,1985,11.88
27,1990,10.50
27,1995,10.90
27,2000,11.79
27,2005,12.08
27,2010,13.50
27,2015,9.56
29,1985,26.16
29,1990,21.31
29,1995,29.75
29,2000,25.52
29,2005,29.79
29,2010,30.13
29,2015,24.03
31,1985,19.35
31,1990,14.73
31,1995,19.27
31,2000,17.36
31,2005,20.37
31,2010,22.98
31,2015,18.75
33,1985,15.57
33,1990,14.04
33,1995,21.59
33,2000,15.99
33,2005,21.04
33,2010,20.19
33,2015,16.47
35,1985,24.27
35,1990,18.65
35,1995,27.37
35,2000,22.09
35,2005,26.08
35,2010,26.98
35,2015,20.81
37,1985,13.11
37,1990,9.94
37,1995,10.78
37,2000,9.96
37,2005,12.38
37,2010,13.24
37,2015,15.61
39,1985,21.78
39,1990,17.62
39,1995,23.30
39,2000,20.16
39,2005,22.53
39,2010,24.15
39,2015,16.79
41,1985,19.55
41,1990,14.72
41,1995,17.62
41,2000,16.66
41,2005,17.83
41,2010,21.24
41,2015,17.04
43,1985,26.72
43,1990,23.60
43,1995,31.66
43,2000,25.21
43,2005,27.78
43,2010,32.36
43,2015,23.62
45,1985,10.48
45,1990,7.58
45,1995,14.34
45,2000,9.86
45,2005,13.08
45,2010,12.56
45,2015,11.14
47,1985,13.24
47,1990,11.59
47,1995,12.73
47,2000,11.75
47,2005,13.39
47,2010,13.93
47,2015,14.46
49,1985,21.77
49,1990,17.33
49,1995,23.41
49,2000,19.78
49,2005,22.48
49,2010,23.50
49,2015,16.21
51,1985,27.95
51,1990,22.80
51,1995,30.06
51,2000,24.69
51,2005,27.65
51,2010,31.95
51,2015,20.79
53,1985,13.01
53,1990,14.16
53,1995,19.57
53,2000,15.33
53,2005,23.15
53,2010,23.15
53,2015,15.89
55,1985,11.68
55,1990,8.03
55,1995,9.45
55,2000,8.78
55,2005,11.45
55,2010,13.02
55,2015,14.87
57,1985,26.81
57,1990,22.32
57,1995,31.25
57,2000,26.37
57,2005,34.19
57,2010,30.34
57,2015,25.39
