county,year,temp
1,1985,47.33
1,1990,48.90
1,1995,49.65
1,2000,50.42
1,2005,49.62
1,2010,48.53
1,2015,51.18
3,1985,44.77
3,1990,47.97
3,1995,48.34
3,2000,49.29
3,2005,47.89
3,2010,47.42
3,2015,50.83
5,1985,39.45
5,1990,43.68
5,1995,44.19
5,2000,45.04
5,2005,43.57
5,2010,43.27
5,2015,46.60
7,1985,43.33
7,1990,44.56
7,1995,44.88
7,2000,45.87
7,2005,45.36
7,2010,44.05
7,2015,46.84
9,1985,39.96
9,1990,41.82
9,1995,42.01
9,2000,42.94
9,2005,42.33
9,2010,41.58
9,2015,43.56
11,1985,46.13
11,1990,49.09
11,1995,49.70
11,2000,50.54
11,2005,49.73
11,2010,48.90
11,2015,51.82
13,1985,39.53
13,1990,41.66
13,1995,41.96
13,2000,43.03
13,2005,42.35
13,2010,40.88
13,2015,44.32
15,1985,49.32
15,1990,50.69
15,1995,51.13
15,2000,52.13
15,2005,51.52
15,2010,50.01
15,2015,52.22
17,1985,47.67
17,1990,48.57
17,1995,49.22
17,2000,50.29
17,2005,49.32
17,2010,48.10
17,2015,50.15
19,1985,50.10
19,1990,51.32
19,1995,51.69
19,2000,52.78
19,2005,52.28
19,2010,50.84
19,2015,52.91
21,1985,47.49
21,1990,48.52
21,1995,49.28
21,2000,50.12
21,2005,49.29
21,2010,48.60
21,2015,50.92
23,1985,48.06
23,1990,50.16
23,1995,50.41
23,2000,51.57
23,2005,50.71
23,2010,49.70
23,2015,52.31
25,1985,51.53
25,1990,52.06
25,1995,52.79
25,2000,53.94
25,2005,52.69
25,2010,52.04
25,2015,53.58
27,1985,49.06
27,1990,50.79
27,1995,51.36
27,2000,52.42
27,2005,51.27
27,2010,50.39
27,2015,52.93
29,1985,40.79
29,1990,43.60
29,1995,44.14
29,2000,44.92
29,2005,44.27
29,2010,43.51
29,2015,46.51
31,1985,42.05
31,1990,43.56
31,1995,44.15
31,2000,45.08
31,2005,44.48
31,2010,43.06
31,2015,45.84
33,1985,36.56
33,1990,40.61
33,1995,40.91
33,2000,41.51
33,2005,40.32
33,2010,40.30
33,2015,43.28
35,1985,46.20
35,1990,48.88
35,1995,49.28
35,2000,50.23
35,2005,49.46
35,2010,48.73
35,2015,51.74
37,1985,52.35
37,1990,52.76
37,1995,53.62
37,2000,54.63
37,2005,53.88
37,2010,52.51
37,2015,54.05
39,1985,42.30
39,1990,43.98
39,1995,44.38
39,2000,45.40
39,2005,44.80
39,2010,43.68
39,2015,46.44
41,1985,43.30
41,1990,44.83
41,1995,45.32
41,2000,46.30
41,2005,45.53
41,2010,44.49
41,2015,46.80
43,1985,37.01
43,1990,38.82
43,1995,39.22
43,2000,40.05
43,2005,39.47
43,2010,38.57
43,2015,41.41
45,1985,48.54
45,1990,50.85
45,1995,51.02
45,2000,52.31
45,2005,51.16
45,2010,50.45
45,2015,53.02
47,1985,43.62
47,1990,46.09
47,1995,46.43
47,2000,47.58
47,2005,46.93
47,2010,45.56
47,2015,48.19
49,1985,44.46
49,1990,46.77
49,1995,47.16
49,2000,48.02
49,2005,47.28
49,2010,46.47
49,2015,49.17
51,1985,39.00
51,1990,41.03
51,1995,41.54
51,2000,42.42
51,2005,41.74
51,2010,40.78
51,2015,43.66
53,1985,54.97
53,1990,55.56
53,1995,56.38
53,2000,57.22
53,2005,56.37
53,2010,55.87
53,2015,57.50
55,1985,49.98
55,1990,51.27
55,1995,51.76
55,2000,52.94
55,2005,52.07
55,2010,50.58
55,2015,52.28
57,1985,42.52
57,1990,45.67
57,1995,46.25
57,2000,47.22
57,2005,46.28
57,2010,45.69
57,2015,48.86
