state_cd	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49
state_name	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah	Utah
county_cd	1	1	1	1	1	1	1	3	3	3	3	3	3	3	5	5	5	5	5	5	5	7	7	7	7	7	7	7	9	9	9	9	9	9	9	11	11	11	11	11	11	11	13	13	13	13	13	13	13	15	15	15	15	15	15	15	17	17	17	17	17	17	17	19	19	19	19	19	19	19	21	21	21	21	21	21	21	23	23	23	23	23	23	23	25	25	25	25	25	25	25	27	27	27	27	27	27	27	29	29	29	29	29	29	29	31	31	31	31	31	31	31	33	33	33	33	33	33	33	35	35	35	35	35	35	35	37	37	37	37	37	37	37	39	39	39	39	39	39	39	41	41	41	41	41	41	41	43	43	43	43	43	43	43	45	45	45	45	45	45	45	47	47	47	47	47	47	47	49	49	49	49	49	49	49	51	51	51	51	51	51	51	53	53	53	53	53	53	53	55	55	55	55	55	55	55	57	57	57	57	57	57	57
county_nm	Beaver County	Beaver County	Beaver County	Beaver County	Beaver County	Beaver County	Beaver County	Box Elder County	Box Elder County	Box Elder County	Box Elder County	Box Elder County	Box Elder County	Box Elder County	Cache County	Cache County	Cache County	Cache County	Cache County	Cache County	Cache County	Carbon County	Carbon County	Carbon County	Carbon County	Carbon County	Carbon County	Carbon County	Daggett County	Daggett County	Daggett County	Daggett County	Daggett County	Daggett County	Daggett County	Davis County	Davis County	Davis County	Davis County	Davis County	Davis County	Davis County	Duchesne County	Duchesne County	Duchesne County	Duchesne County	Duchesne County	Duchesne County	Duchesne County	Emery County	Emery County	Emery County	Emery County	Emery County	Emery County	Emery County	Garfield County	Garfield County	Garfield County	Garfield County	Garfield County	Garfield County	Garfield County	Grand County	Grand County	Grand County	Grand County	Grand County	Grand County	Grand County	Iron County	Iron County	Iron County	Iron County	Iron County	Iron County	Iron County	Juab County	Juab County	Juab County	Juab County	Juab County	Juab County	Juab County	Kane County	Kane County	Kane County	Kane County	Kane County	Kane County	Kane County	Millard County	Millard County	Millard County	Millard County	Millard County	Millard County	Millard County	Morgan County	Morgan County	Morgan County	Morgan County	Morgan County	Morgan County	Morgan County	Piute County	Piute County	Piute County	Piute County	Piute County	Piute County	Piute County	Rich County	Rich County	Rich County	Rich County	Rich County	Rich County	Rich County	Salt Lake County	Salt Lake County	Salt Lake County	Salt Lake County	Salt Lake County	Salt Lake County	Salt Lake County	San Juan County	San Juan County	San Juan County	San Juan County	San Juan County	San Juan County	San Juan County	Sanpete County	Sanpete County	Sanpete County	Sanpete County	Sanpete County	Sanpete County	Sanpete County	Sevier County	Sevier County	Sevier County	Sevier County	Sevier County	Sevier County	Sevier County	Summit County	Summit County	Summit County	Summit County	Summit County	Summit County	Summit County	Tooele County	Tooele County	Tooele County	Tooele County	Tooele County	Tooele County	Tooele County	Uintah County	Uintah County	Uintah County	Uintah County	Uintah County	Uintah County	Uintah County	Utah County	Utah County	Utah County	Utah County	Utah County	Utah County	Utah County	Wasatch County	Wasatch County	Wasatch County	Wasatch County	Wasatch County	Wasatch County	Wasatch County	Washington County	Washington County	Washington County	Washington County	Washington County	Washington County	Washington County	Wayne County	Wayne County	Wayne County	Wayne County	Wayne County	Wayne County	Wayne County	Weber County	Weber County	Weber County	Weber County	Weber County	Weber County	Weber County
year	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015	1985	1990	1995	2000	2005	2010	2015
Total Population total population of area, in thousands	5.2	4.76	5.38	6.01	6.341	6.629	6.354	36.8	36.49	39.59	42.75	45.304	49.975	52.097	64.8	70.18	77.3	91.39	103.564	112.656	120.783	23.1	20.23	20.65	20.42	19.338	21.403	20.479	0.8	0.69	0.77	0.92	0.963	1.059	1.109	174.8	187.94	215.38	238.99	278.278	306.479	336.043	15.3	12.64	13.8	14.37	15.237	18.607	20.862	12.5	10.33	10.64	10.86	10.491	10.976	10.37	4.1	3.98	4.09	4.74	4.703	5.172	5.009	7.3	6.62	7.82	8.49	8.826	9.225	9.516	19.6	20.79	25.92	33.78	41.397	46.163	48.368	6	5.82	6.68	8.24	8.974	10.246	10.594	4.7	5.17	6	6.05	6.211	7.125	7.131	14.4	11.33	12.16	12.41	13.171	12.503	12.645	5.2	5.53	6.59	7.13	8.516	9.469	11.065	1.5	1.28	1.42	1.44	1.368	1.556	1.517	2.4	1.72	1.83	1.96	2.062	2.264	2.311	693	725.96	808.38	898.39	978.285	1029.655	1107.314	11.4	12.62	13.92	14.41	14.571	14.746	15.772	16.7	16.26	19.34	22.76	25.454	27.822	28.778	16	15.43	17.17	18.84	19.649	20.802	20.984	12.9	15.52	23.29	29.74	36.283	36.324	39.633	29	26.6	29.26	40.74	52.133	58.218	62.952	25.4	22.21	25	25.22	26.883	32.588	37.928	237.6	263.59	298.79	368.54	456.073	516.564	575.205	9.6	10.09	11.76	15.22	19.999	23.53	29.161	35.6	48.56	70.61	90.35	127.127	138.115	155.602	2.2	2.18	2.3	2.51	2.504	2.778	2.692	156.9	158.33	175.56	196.53	213.684	231.236	243.645
Public Supply population served by groundwater, in thousands	4.57	4.7	4.58	-	-	-	-	34.83	33.6	31.91	-	-	-	-	61.47	66.88	69.16	-	-	-	-	12.4	9.92	9.94	-	-	-	-	0.54	0.29	0.59	-	-	-	-	116.28	92.65	72.97	-	-	-	-	7.8	6.35	2.52	-	-	-	-	8.35	2.57	2.43	-	-	-	-	3.97	3.47	3.4	-	-	-	-	7.19	3.78	7.13	-	-	-	-	14.77	14.41	24.77	-	-	-	-	5.53	5.1	5.09	-	-	-	-	4.15	4.63	5.1	-	-	-	-	8.14	8.68	9.11	-	-	-	-	3.32	3.35	4.06	-	-	-	-	1.33	1.11	0.88	-	-	-	-	1.85	1.27	1.12	-	-	-	-	276.45	251.34	285.47	-	-	-	-	4.39	2.59	2.67	-	-	-	-	8.36	15.6	13.76	-	-	-	-	13.79	14	8.15	-	-	-	-	10.64	15.24	21.37	-	-	-	-	28.76	23.77	19.49	-	-	-	-	23.8	8.03	11.98	-	-	-	-	216.33	201.27	240.68	-	-	-	-	8.11	8.04	10.24	-	-	-	-	35.56	41.96	53.81	-	-	-	-	1.81	1.22	1.79	-	-	-	-	91	102.09	83.79	-	-	-	-
Public Supply population served by surface water, in thousands	0	0	0	-	-	-	-	0.81	0	0	-	-	-	-	0.03	0.07	0	-	-	-	-	7.42	6.07	5.87	-	-	-	-	0.19	0.21	0.09	-	-	-	-	56.5	91.18	138.14	-	-	-	-	2.6	3.34	4.07	-	-	-	-	3.54	7.23	7.94	-	-	-	-	0	0.16	0	-	-	-	-	0	2.23	0.25	-	-	-	-	0	4	0	-	-	-	-	0	0	0	-	-	-	-	0	0	0	-	-	-	-	0	0	0	-	-	-	-	0	0	0	-	-	-	-	0	0	0	-	-	-	-	0	0	0	-	-	-	-	395.76	463.7	503.68	-	-	-	-	2.91	3.75	3.74	-	-	-	-	2.3	0	0	-	-	-	-	1.2	0	0	-	-	-	-	0	0	0.92	-	-	-	-	0	0	6.43	-	-	-	-	1.2	9.32	8.5	-	-	-	-	13.83	52.18	56.14	-	-	-	-	0	0	0	-	-	-	-	0.04	6.07	15.35	-	-	-	-	0	0	0	-	-	-	-	65	54.99	89.18	-	-	-	-
Public Supply total population served, in thousands	4.57	4.7	4.58	4.775	5.12	5.52	6.081	35.64	33.6	31.91	38.944	41.82	47.89	49.232	61.5	66.95	69.16	88.4	98.03	107.58	117.916	19.82	15.99	15.81	19.886	19.13	21.08	20.195	0.73	0.5	0.68	0.5	0.89	0.597	0.548	172.78	183.83	211.11	235.213	275.32	304.635	334.15	10.4	9.69	6.59	12.145	13.55	16.57	20.734	11.89	9.8	10.37	10.767	10.45	10.58	9.51	3.97	3.63	3.4	3.995	3.98	4.236	4.184	7.19	6.01	7.38	7.668	8.14	8.71	9.235	14.77	18.41	24.77	28.582	37.06	43.325	44.927	5.53	5.1	5.09	7.726	8.36	9.46	10.182	4.15	4.63	5.1	5.957	5.955	6.972	6.964	8.14	8.68	9.11	9.289	10.72	10.02	9.083	3.32	3.35	4.06	5.062	6.69	7.49	8.213	1.33	1.11	0.88	1.325	1.2	1.38	1.353	1.85	1.27	1.12	1.295	1.55	1.66	1.592	672.21	715.04	789.15	897.543	967.15	1027.475	1103.792	7.3	6.34	6.41	7.988	8.19	7.376	5.989	10.66	15.6	13.76	18.61	21.65	24.56	23.519	14.99	14	8.15	15.885	17.66	18.13	18.716	10.64	15.24	22.29	27.343	35.89	35.232	36.705	28.76	23.77	25.92	38.06	49.18	54.78	62.841	25	17.35	20.48	23.777	26.04	31.35	37.22	230.16	253.45	296.82	366.429	451.1	514.13	570.393	8.11	8.04	10.24	11.123	17.13	22.485	23.729	35.6	48.03	69.16	86.573	124.83	137.918	155.392	1.81	1.22	1.79	2.023	2.18	2.44	2.235	156	157.08	172.97	195.985	209.92	229.79	239.911
Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d	1.69	2.02	1.85	2.16	1.96	2.38	2.13	28.35	16.04	25.11	13.84	13.7	15.89	13.27	27.46	27.38	21.97	32.65	33.06	33.11	26.54	4.39	3.21	3.47	3.19	4.51	3.05	3.29	0.16	0.17	0.25	0.29	0.14	0.74	0.47	21.47	16.54	17.71	24.2	15.62	18.12	24.1	2.51	1.92	0.45	2.81	2.75	2.44	1.9	1.21	0.46	0.97	1.03	0.42	0.92	0.82	1.97	1.99	1.2	1.56	1.07	0.86	1.46	4.63	2.82	2.82	3.28	2.83	3.31	2.74	4.53	4.74	6.98	9.37	8.72	9.79	9.76	3.35	3.24	3.68	5.67	5.66	4.97	4.59	1.95	1.67	1.58	2.4	2.75	2.92	2.3	2.48	3.69	3.57	4.72	4.03	3.51	4.21	0.97	1.11	0.95	1.41	1.31	1.45	1.31	0.67	0.61	0.41	0.94	1.53	1.66	0.71	0.16	2.34	1.33	1.32	1.63	1.4	1.79	71.21	76.82	64.73	77.45	66.98	68.93	64.82	1.6	0.68	1.5	0.92	1.44	0.89	0.86	2.4	3.93	5.02	3.97	4.51	3.62	4.9	4.09	5.15	1.7	5.64	4.69	4.97	4.63	4.88	6.59	6.92	10.25	9.9	11.64	8.88	9.55	7.51	7.41	7.15	10.13	14.54	15.64	5.35	2.44	2.09	7.46	7.71	7.12	7.59	55.16	63.92	59.66	86.11	82.54	80.02	86.75	3.29	2.87	3.17	2.91	6.42	8.23	10.63	14	16.82	17.99	21.92	29.55	29.79	28.55	0.58	0.67	0.4	0.56	1	0.79	0.59	19	27.82	27.7	29.09	21.51	24.1	19.58
