county,year,precip
1,1985,38.22
1,1990,52.03
1,1995,40.53
1,2000,45.97
1,2005,47.76
1,2010,49.79
1,2015,39.22
3,1985,40.31
3,1990,57.81
3,1995,42.45
3,2000,52.26
3,2005,56.26
3,2010,49.04
3,2015,41.86
5,1985,37.21
5,1990,53.17
5,1995,41.11
5,2000,46.37
5,2005,52.25
5,2010,47.26
5,2015,45.33
7,1985,38.49
7,1990,49.51
7,1995,40.51
7,2000,45.20
7,2005,46.20
7,2010,47.75
7,2015,40.68
9,1985,38.26
9,1990,54.37
9,1995,41.71
9,2000,47.40
9,2005,56.46
9,2010,46.40
9,2015,47.29
11,1985,40.96
11,1990,51.31
11,1995,44.73
11,2000,47.08
11,2005,47.58
11,2010,49.37
11,2015,45.25
13,1985,34.95
13,1990,42.19
13,1995,37.09
13,2000,39.67
13,2005,43.55
13,2010,40.30
13,2015,39.89
15,1985,42.19
15,1990,54.41
15,1995,48.64
15,2000,49.00
15,2005,51.29
15,2010,50.15
15,2015,40.63
17,1985,36.73
17,1990,52.58
17,1995,38.94
17,2000,44.92
17,2005,50.10
17,2010,48.01
17,2015,41.22
19,1985,42.53
19,1990,56.02
19,1995,47.43
19,2000,50.89
19,2005,53.07
19,2010,51.15
19,2015,46.36
21,1985,37.95
21,1990,54.76
21,1995,38.51
21,2000,50.38
21,2005,52.71
21,2010,49.43
21,2015,39.86
23,1985,39.63
23,1990,55.54
23,1995,44.12
23,2000,47.03
23,2005,51.97
23,2010,49.83
23,2015,41.48
25,1985,41.65
25,1990,58.53
25,1995,44.71
25,2000,53.56
25,2005,58.96
25,2010,51.04
25,2015,44.10
27,1985,39.42
27,1990,53.77
27,1995,39.36
27,2000,49.87
27,2005,53.76
27,2010,49.79
27,2015,40.20
