county,year,temp
1,1985,42.83
1,1990,45.44
1,1995,43.67
1,2000,43.15
1,2005,44.86
1,2010,46.24
1,2015,43.87
3,1985,41.97
3,1990,44.67
3,1995,42.20
3,2000,41.97
3,2005,43.38
3,2010,44.60
3,2015,43.17
5,1985,40.14
5,1990,42.93
5,1995,41.14
5,2000,40.63
5,2005,42.16
5,2010,43.68
5,2015,40.92
7,1985,42.53
7,1990,45.22
7,1995,43.69
7,2000,43.02
7,2005,44.73
7,2010,46.18
7,2015,44.43
9,1985,38.96
9,1990,41.93
9,1995,40.13
9,2000,39.64
9,2005,41.24
9,2010,42.98
9,2015,40.12
11,1985,41.83
11,1990,44.60
11,1995,42.97
11,2000,42.45
11,2005,44.22
11,2010,45.67
11,2015,43.68
13,1985,43.52
13,1990,46.13
13,1995,44.56
13,2000,44.14
13,2005,45.83
13,2010,47.47
13,2015,45.53
15,1985,40.11
15,1990,42.80
15,1995,41.11
15,2000,40.54
15,2005,42.41
15,2010,43.75
15,2015,41.75
17,1985,41.30
17,1990,43.80
17,1995,42.05
17,2000,41.71
17,2005,43.12
17,2010,44.63
17,2015,42.54
19,1985,39.67
19,1990,42.55
19,1995,41.02
19,2000,40.27
19,2005,41.98
19,2010,43.40
19,2015,40.68
21,1985,42.30
21,1990,44.60
21,1995,43.08
21,2000,42.36
21,2005,44.02
21,2010,45.58
21,2015,43.31
23,1985,40.62
23,1990,43.32
23,1995,41.41
23,2000,41.03
23,2005,42.60
23,2010,44.20
23,2015,41.67
25,1985,43.17
25,1990,45.49
25,1995,43.68
25,2000,43.27
25,2005,44.57
25,2010,45.93
25,2015,44.10
27,1985,42.23
27,1990,44.49
27,1995,42.96
27,2000,42.60
27,2005,43.99
27,2010,45.68
27,2015,43.29
