county,year,precip
1,1985,42.76
1,1990,42.58
1,1995,35.68
1,2000,43.57
1,2005,44.70
1,2010,38.83
1,2015,46.71
3,1985,45.67
3,1990,47.04
3,1995,47.95
3,2000,37.22
3,2005,42.86
3,2010,38.41
3,2015,48.23
5,1985,42.63
5,1990,41.60
5,1995,41.58
5,2000,38.64
5,2005,37.37
5,2010,37.23
5,2015,48.80
7,1985,45.65
7,1990,38.69
7,1995,44.58
7,2000,41.81
7,2005,37.97
7,2010,39.81
7,2015,51.28
9,1985,47.87
9,1990,48.51
9,1995,51.24
9,2000,40.43
9,2005,45.66
9,2010,45.07
9,2015,53.33
11,1985,47.78
11,1990,49.12
11,1995,49.31
11,2000,36.91
11,2005,36.63
11,2010,42.56
11,2015,48.11
13,1985,37.41
13,1990,46.79
13,1995,40.33
13,2000,40.48
13,2005,45.08
13,2010,38.97
13,2015,43.87
15,1985,44.11
15,1990,44.64
15,1995,46.79
15,2000,39.76
15,2005,38.77
15,2010,37.40
15,2015,47.87
17,1985,43.93
17,1990,42.79
17,1995,41.85
17,2000,41.50
17,2005,39.90
17,2010,39.31
17,2015,49.60
19,1985,46.42
19,1990,53.81
19,1995,50.40
19,2000,42.22
19,2005,39.99
19,2010,44.89
19,2015,53.63
21,1985,36.60
21,1990,47.00
21,1995,43.46
21,2000,35.63
21,2005,36.48
21,2010,41.21
21,2015,47.10
23,1985,44.39
23,1990,46.95
23,1995,45.22
23,2000,39.13
23,2005,37.32
23,2010,40.07
23,2015,50.32
25,1985,49.64
25,1990,42.16
25,1995,42.60
25,2000,42.57
25,2005,37.46
25,2010,38.47
25,2015,51.09
27,1985,40.84
27,1990,46.44
27,1995,43.85
27,2000,41.14
27,2005,38.47
27,2010,46.06
27,2015,52.14
29,1985,45.85
29,1990,44.64
29,1995,47.93
29,2000,36.51
29,2005,38.84
29,2010,39.59
29,2015,47.87
31,1985,46.28
31,1990,51.71
31,1995,48.98
31,2000,38.28
31,2005,37.34
31,2010,44.12
31,2015,47.36
33,1985,45.65
33,1990,41.88
33,1995,43.33
33,2000,43.19
33,2005,41.31
33,2010,38.91
33,2015,47.41
35,1985,44.57
35,1990,49.33
35,1995,45.53
35,2000,37.45
35,2005,43.13
35,2010,46.69
35,2015,58.00
36,1985,49.06
36,1990,40.89
36,1995,39.35
36,2000,45.09
36,2005,40.06
36,2010,42.69
36,2015,52.43
37,1985,43.02
37,1990,43.34
37,1995,52.04
37,2000,39.08
37,2005,38.00
37,2010,46.50
37,2015,46.11
41,1985,46.83
41,1990,39.83
41,1995,42.62
41,2000,42.50
41,2005,38.15
41,2010,40.74
41,2015,52.29
43,1985,34.14
43,1990,43.27
43,1995,40.60
43,2000,34.97
43,2005,36.93
43,2010,38.82
43,2015,39.73
45,1985,43.27
45,1990,44.96
45,1995,42.55
45,2000,39.38
45,2005,36.25
45,2010,40.62
45,2015,51.66
47,1985,43.17
47,1990,45.29
47,1995,44.55
47,2000,37.91
47,2005,41.75
47,2010,40.28
47,2015,46.72
49,1985,44.24
49,1990,41.88
49,1995,48.15
49,2000,38.39
49,2005,39.09
49,2010,38.46
49,2015,48.78
51,1985,38.74
51,1990,46.06
51,1995,44.48
51,2000,38.25
51,2005,37.15
51,2010,44.12
51,2015,49.16
53,1985,48.89
53,1990,40.15
53,1995,41.46
53,2000,42.48
53,2005,37.97
53,2010,40.52
53,2015,52.58
57,1985,43.70
57,1990,44.62
57,1995,42.27
57,2000,45.13
57,2005,41.07
57,2010,39.90
57,2015,51.20
59,1985,36.56
59,1990,46.75
59,1995,39.54
59,2000,38.06
59,2005,44.00
59,2010,38.66
59,2015,41.92
61,1985,37.51
61,1990,46.13
61,1995,42.28
61,2000,37.83
61,2005,41.47
