county,year,temp
1,1985,57.93
1,1990,59.34
1,1995,57.26
1,2000,56.77
1,2005,57.44
1,2010,58.33
1,2015,58.38
3,1985,55.68
3,1990,57.43
3,1995,55.01
3,2000,55.07
3,2005,56.07
3,2010,56.53
3,2015,56.55
5,1985,52.60
5,1990,54.83
5,1995,52.35
5,2000,52.55
5,2005,53.37
5,2010,53.04
5,2015,53.85
7,1985,57.29
7,1990,59.64
7,1995,56.73
7,2000,56.57
7,2005,57.97
7,2010,57.96
7,2015,58.27
9,1985,55.12
9,1990,56.68
9,1995,54.32
9,2000,54.42
9,2005,55.39
9,2010,55.37
9,2015,55.98
11,1985,56.08
11,1990,57.67
11,1995,55.42
11,2000,55.21
11,2005,56.24
11,2010,56.47
11,2015,57.16
13,1985,56.13
13,1990,57.82
13,1995,55.59
13,2000,55.33
13,2005,56.27
13,2010,57.27
13,2015,56.93
15,1985,52.55
15,1990,54.60
15,1995,52.12
15,2000,52.06
15,2005,52.82
15,2010,52.93
15,2015,53.56
17,1985,51.51
17,1990,53.70
17,1995,51.43
17,2000,51.69
17,2005,52.42
17,2010,51.88
17,2015,52.71
19,1985,56.17
19,1990,57.74
19,1995,55.23
19,2000,55.14
19,2005,56.18
19,2010,56.08
19,2015,56.71
21,1985,50.92
21,1990,53.48
21,1995,50.86
21,2000,51.05
21,2005,52.06
21,2010,50.92
21,2015,52.72
23,1985,55.13
23,1990,56.99
23,1995,54.44
23,2000,54.49
23,2005,55.41
23,2010,55.10
23,2015,55.81
25,1985,57.96
25,1990,59.86
25,1995,57.61
25,2000,57.22
25,2005,58.58
25,2010,58.53
25,2015,59.15
27,1985,53.20
27,1990,55.61
27,1995,53.41
27,2000,53.52
27,2005,54.54
27,2010,53.59
27,2015,55.13
29,1985,56.48
29,1990,58.24
29,1995,55.91
29,2000,55.70
29,2005,56.82
29,2010,57.12
29,2015,57.44
31,1985,56.08
31,1990,57.53
31,1995,55.33
31,2000,55.12
31,2005,56.13
31,2010,56.27
31,2015,56.97
33,1985,57.01
33,1990,58.53
33,1995,56.01
