county,year,precip
1,1985,7.26
1,1990,11.00
1,1995,15.49
1,2000,12.05
1,2005,11.04
1,2010,15.06
1,2015,10.62
3,1985,13.95
3,1990,15.83
3,1995,23.60
3,2000,15.02
3,2005,15.20
3,2010,18.77
3,2015,13.92
5,1985,5.93
5,1990,6.48
5,1995,12.56
5,2000,9.13
5,2005,8.40
5,2010,12.63
5,2015,7.62
7,1985,26.38
7,1990,51.50
7,1995,47.45
7,2000,27.78
7,2005,32.49
7,2010,39.78
7,2015,39.81
9,1985,55.09
9,1990,106.87
9,1995,105.08
9,2000,67.22
9,2005,80.17
9,2010,95.53
9,2015,91.13
11,1985,47.94
11,1990,73.81
11,1995,80.27
11,2000,52.09
11,2005,62.45
11,2010,78.02
11,2015,66.30
13,1985,21.51
13,1990,26.70
13,1995,32.89
13,2000,27.19
13,2005,20.94
13,2010,29.44
13,2015,21.39
15,1985,55.05
15,1990,88.93
15,1995,92.55
15,2000,60.22
15,2005,70.24
15,2010,87.71
15,2015,77.40
17,1985,6.90
17,1990,11.52
17,1995,16.24
17,2000,9.04
17,2005,12.92
17,2010,15.77
17,2015,11.45
19,1985,13.55
19,1990,20.66
19,1995,24.21
19,2000,17.18
19,2005,19.40
19,2010,22.96
19,2015,18.64
21,1985,6.18
21,1990,8.16
21,1995,13.55
21,2000,10.80
21,2005,8.84
21,2010,13.09
21,2015,8.45
23,1985,16.60
23,1990,18.64
23,1995,25.45
23,2000,19.69
23,2005,15.98
23,2010,23.02
23,2015,16.12
25,1985,5.23
25,1990,7.61
25,1995,12.93
25,2000,8.11
25,2005,9.03
25,2010,11.43
25,2015,7.85
27,1985,64.69
27,1990,114.03
27,1995,108.56
27,2000,72.53
27,2005,88.56
27,2010,107.02
27,2015,95.81
29,1985,21.74
29,1990,34.54
29,1995,31.89
29,2000,22.21
29,2005,25.02
29,2010,28.69
29,2015,30.64
31,1985,72.31
31,1990,128.29
31,1995,125.31
31,2000,80.88
31,2005,99.16
31,2010,129.05
31,2015,111.71
33,1985,55.03
33,1990,98.98
33,1995,83.04
33,2000,58.69
33,2005,65.05
33,2010,78.63
33,2015,77.77
35,1985,29.15
35,1990,52.13
35,1995,55.02
35,2000,36.30
35,2005,43.85
35,2010,56.04
35,2015,47.17
37,1985,24.91
37,1990,43.63
37,1995,42.18
37,2000,24.95
37,2005,29.73
37,2010,35.24
37,2015,34.31
39,1985,15.35
39,1990,20.23
39,1995,31.98
39,2000,17.67
39,2005,22.82
39,2010,27.66
39,2015,22.40
41,1985,51.25
41,1990,89.34
41,1995,85.81
41,2000,56.34
41,2005,65.87
41,2010,78.77
41,2015,75.90
43,1985,8.41
43,1990,12.89
43,1995,17.29
43,2000,13.14
43,2005,13.82
43,2010,16.58
43,2015,12.34
45,1985,57.55
45,1990,102.50
45,1995,108.61
45,2000,71.06
45,2005,83.22
45,2010,106.10
45,2015,96.13
47,1985,15.75
47,1990,28.10
47,1995,28.95
47,2000,16.40
47,2005,20.49
47,2010,26.66
47,2015,21.13
49,1985,60.44
49,1990,108.33
49,1995,100.88
49,2000,67.28
49,2005,82.14
49,2010,98.47
49,2015,86.06
51,1985,22.99
51,1990,40.05
51,1995,38.90
51,2000,31.38
51,2005,31.00
51,2010,38.78
51,2015,30.96
53,1985,46.38
53,1990,81.73
53,1995,72.18
53,2000,51.76
53,2005,58.57
53,2010,68.75
53,2015,69.37
55,1985,20.63
55,1990,36.80
55,1995,33.94
55,2000,23.49
55,2005,27.24
55,2010,31.32
55,2015,30.06
57,1985,61.91
57,1990,104.22
57,1995,86.86
57,2000,63.94
57,2005,65.75
57,2010,76.64
57,2015,84.32
59,1985,64.65
59,1990,102.24
59,1995,113.03
59,2000,69.26
59,2005,81.50
59,2010,101.77
59,2015,91.77
61,1985,62.47
61,1990,106.80
61,1995,93.60
61,2000,66.73
61,2005,69.65
61,2010,83.61
61,2015,87.86
63,1985,14.83
63,1990,22.60
63,1995,25.08
63,2000,19.08
63,2005,19.14
63,2010,23.66
63,2015,18.21
65,1985,15.98
65,1990,26.12
65,1995,27.93
65,2000,22.37
65,2005,22.47
65,2010,26.41
65,2015,21.48
67,1985,35.46
67,1990,62.76
67,1995,58.80
67,2000,40.46
67,2005,48.49
67,2010,57.83
67,2015,54.24
69,1985,57.06
69,1990,97.83
69,1995,93.86
69,2000,62.77
69,2005,77.61
69,2010,87.17
69,2015,79.02
71,1985,11.47
71,1990,13.94
71,1995,20.33
71,2000,16.65
71,2005,11.98
71,2010,17.79
71,2015,12.39
73,1985,51.62
73,1990,91.65
73,1995,80.12
73,2000,56.76
73,2005,62.77
73,2010,69.84
73,2015,75.38
75,1985,13.58
75,1990,17.43
75,1995,21.54
75,2000,16.99
75,2005,15.14
75,2010,19.70
75,2015,16.73
77,1985,18.00
77,1990,27.48
77,1995,35.11
77,2000,20.96
77,2005,23.88
77,2010,29.94
77,2015,27.25
