county,year,temp
1,1985,45.32
1,1990,50.03
1,1995,49.69
1,2000,48.17
1,2005,49.36
1,2010,49.57
1,2015,52.52
3,1985,44.15
3,1990,48.42
3,1995,48.40
3,2000,47.63
3,2005,48.91
3,2010,48.25
3,2015,51.30
5,1985,48.78
5,1990,53.46
5,1995,52.68
5,2000,51.61
5,2005,52.39
5,2010,52.43
5,2015,55.14
7,1985,40.47
7,1990,43.31
7,1995,43.23
7,2000,42.14
7,2005,43.50
7,2010,42.88
7,2015,46.41
9,1985,45.31
9,1990,47.37
9,1995,48.46
9,2000,46.84
9,2005,48.18
9,2010,47.51
9,2015,49.82
11,1985,49.16
11,1990,51.83
11,1995,52.84
11,2000,51.24
11,2005,52.35
11,2010,51.90
11,2015,54.63
13,1985,43.66
13,1990,48.20
13,1995,48.02
13,2000,47.27
13,2005,48.47
13,2010,48.02
13,2015,51.16
15,1985,47.48
15,1990,49.63
15,1995,50.68
15,2000,49.21
15,2005,50.18
15,2010,49.66
15,2015,52.65
17,1985,44.55
17,1990,48.75
17,1995,48.30
17,2000,46.76
17,2005,48.06
17,2010,47.85
17,2015,51.12
19,1985,39.55
19,1990,43.44
19,1995,43.23
19,2000,41.94
19,2005,42.97
19,2010,43.33
19,2015,46.20
21,1985,47.69
21,1990,52.66
21,1995,51.89
21,2000,50.72
21,2005,51.86
21,2010,51.75
21,2015,54.61
23,1985,43.83
23,1990,48.54
23,1995,48.30
23,2000,47.44
23,2005,48.78
23,2010,48.37
23,2015,51.28
25,1985,46.51
25,1990,51.43
25,1995,50.82
25,2000,49.17
25,2005,50.30
25,2010,50.48
25,2015,53.52
27,1985,48.06
27,1990,50.19
27,1995,51.38
27,2000,49.46
27,2005,50.78
27,2010,49.98
27,2015,52.25
29,1985,48.38
29,1990,50.38
29,1995,51.61
29,2000,50.12
29,2005,51.67
29,2010,51.24
29,2015,52.88
31,1985,43.60
31,1990,45.61
31,1995,46.78
31,2000,45.07
31,2005,46.45
31,2010,45.70
31,2015,48.21
33,1985,45.15
33,1990,47.57
33,1995,48.62
33,2000,46.93
33,2005,48.30
33,2010,47.61
33,2015,50.64
35,1985,49.15
35,1990,51.14
35,1995,52.48
35,2000,50.73
35,2005,51.92
35,2010,51.38
35,2015,54.27
37,1985,41.82
37,1990,45.65
37,1995,45.54
37,2000,44.15
37,2005,45.48
37,2010,44.95
37,2015,48.81
39,1985,45.08
39,1990,49.06
39,1995,48.88
39,2000,47.67
39,2005,48.83
39,2010,48.49
39,2015,51.67
41,1985,45.52
41,1990,47.70
41,1995,48.63
41,2000,47.14
41,2005,48.22
41,2010,47.49
41,2015,50.15
43,1985,42.89
43,1990,47.80
43,1995,47.62
43,2000,45.55
43,2005,46.95
43,2010,47.25
43,2015,49.63
45,1985,46.78
45,1990,48.94
45,1995,50.13
45,2000,48.48
45,2005,49.45
45,2010,48.75
45,2015,51.55
47,1985,39.47
47,1990,42.72
47,1995,42.86
47,2000,41.86
47,2005,42.94
47,2010,42.76
47,2015,45.78
49,1985,48.21
49,1990,50.52
49,1995,51.74
49,2000,49.79
49,2005,50.77
49,2010,50.34
49,2015,52.53
51,1985,39.14
51,1990,42.26
51,1995,42.42
51,2000,41.35
51,2005,42.24
51,2010,42.73
51,2015,45.62
53,1985,44.57
53,1990,46.89
53,1995,47.99
53,2000,46.31
53,2005,47.42
53,2010,46.70
53,2015,49.83
55,1985,48.11
55,1990,50.23
55,1995,51.62
55,2000,49.96
55,2005,51.32
55,2010,50.92
55,2015,52.35
57,1985,43.70
57,1990,45.72
57,1995,46.77
57,2000,45.56
57,2005,46.93
57,2010,46.47
57,2015,48.67
59,1985,43.07
59,1990,45.63
59,1995,46.18
59,2000,44.75
59,2005,45.91
59,2010,45.15
59,2015,48.66
61,1985,44.12
61,1990,46.18
61,1995,47.31
61,2000,45.88
61,2005,47.37
61,2010,46.68
61,2015,49.15
63,1985,42.89
63,1990,46.97
63,1995,47.03
63,2000,45.61
63,2005,46.73
63,2010,47.07
63,2015,50.25
65,1985,41.59
65,1990,45.27
65,1995,45.29
65,2000,44.02
65,2005,44.98
65,2010,45.63
65,2015,48.20
67,1985,48.95
67,1990,50.94
67,1995,52.20
67,2000,50.51
67,2005,51.55
67,2010,50.93
67,2015,53.00
69,1985,48.04
69,1990,50.03
69,1995,51.52
69,2000,49.66
69,2005,50.58
69,2010,50.28
69,2015,52.67
71,1985,48.52
71,1990,53.21
71,1995,52.54
71,2000,51.62
71,2005,52.54
71,2010,52.44
71,2015,55.30
73,1985,42.04
73,1990,44.18
73,1995,45.23
73,2000,43.78
73,2005,45.23
73,2010,44.85
73,2015,47.38
75,1985,44.80
75,1990,49.40
75,1995,49.31
75,2000,47.94
75,2005,49.13
75,2010,49.42
75,2015,51.99
77,1985,43.16
77,1990,47.07
77,1995,46.70
77,2000,45.59
77,2005,46.66
77,2010,46.10
77,2015,50.00
