county,year,temp
1,1985,50.87
1,1990,53.13
1,1995,50.62
1,2000,50.89
1,2005,52.02
1,2010,50.95
1,2015,52.64
3,1985,52.67
3,1990,54.67
3,1995,52.30
3,2000,52.76
3,2005,53.82
3,2010,54.22
3,2015,54.07
5,1985,53.75
5,1990,55.97
5,1995,53.85
5,2000,54.05
5,2005,55.19
5,2010,54.40
5,2015,55.58
7,1985,53.24
7,1990,55.62
7,1995,53.40
7,2000,53.30
7,2005,54.26
7,2010,53.37
7,2015,54.83
9,1985,50.68
9,1990,52.81
9,1995,50.59
9,2000,50.80
9,2005,52.11
9,2010,51.66
9,2015,51.80
11,1985,54.33
11,1990,56.93
11,1995,54.35
11,2000,54.93
11,2005,55.99
11,2010,55.36
11,2015,55.96
13,1985,53.09
13,1990,55.19
13,1995,53.02
13,2000,53.32
13,2005,54.45
13,2010,53.69
13,2015,54.42
15,1985,53.56
15,1990,55.90
15,1995,53.67
15,2000,53.69
15,2005,54.67
15,2010,53.69
15,2015,55.18
17,1985,52.20
17,1990,54.35
17,1995,52.02
17,2000,52.62
17,2005,53.42
17,2010,52.62
17,2015,53.76
19,1985,51.63
19,1990,54.37
19,1995,51.82
19,2000,51.83
19,2005,52.84
19,2010,51.80
19,2015,53.32
21,1985,53.09
21,1990,55.23
21,1995,53.09
21,2000,53.31
21,2005,54.33
21,2010,53.51
21,2015,54.69
23,1985,50.32
23,1990,52.44
23,1995,49.82
23,2000,50.08
23,2005,50.68
23,2010,50.25
23,2015,51.19
25,1985,49.69
25,1990,51.97
25,1995,49.55
25,2000,49.70
25,2005,50.54
25,2010,49.78
25,2015,51.15
27,1985,52.17
27,1990,53.98
27,1995,51.77
27,2000,52.12
27,2005,52.69
27,2010,52.88
27,2015,52.86
29,1985,50.27
29,1990,52.57
29,1995,50.44
29,2000,50.47
29,2005,51.68
29,2010,51.43
29,2015,51.15
31,1985,51.62
31,1990,53.29
31,1995,50.91
31,2000,51.04
31,2005,51.58
31,2010,51.53
31,2015,52.02
33,1985,51.94
33,1990,53.89
33,1995,51.68
33,2000,52.09
33,2005,52.99
33,2010,52.38
33,2015,53.66
35,1985,53.51
35,1990,55.65
35,1995,53.46
35,2000,53.75
35,2005,54.73
35,2010,54.17
35,2015,54.67
37,1985,53.23
37,1990,55.29
37,1995,52.78
37,2000,52.99
37,2005,54.28
37,2010,54.60
37,2015,54.13
39,1985,54.28
39,1990,56.48
39,1995,54.25
39,2000,54.43
39,2005,55.39
39,2010,54.68
39,2015,55.82
41,1985,52.49
41,1990,54.52
41,1995,52.47
41,2000,52.81
41,2005,53.58
41,2010,52.77
41,2015,54.42
43,1985,54.63
43,1990,56.93
43,1995,54.70
43,2000,55.10
43,2005,56.21
43,2010,55.52
43,2015,56.58
45,1985,54.14
45,1990,56.39
45,1995,54.31
45,2000,54.55
45,2005,55.68
45,2010,54.88
45,2015,56.24
47,1985,52.77
47,1990,55.27
47,1995,53.11
47,2000,53.07
47,2005,54.22
47,2010,53.33
47,2015,54.84
49,1985,51.36
49,1990,53.53
49,1995,51.25
49,2000,51.39
49,2005,52.54
49,2010,51.81
49,2015,53.21
51,1985,51.08
51,1990,53.23
51,1995,50.99
51,2000,51.38
51,2005,52.64
51,2010,51.93
51,2015,52.26
53,1985,53.73
53,1990,55.94
53,1995,53.56
53,2000,54.11
53,2005,55.12
53,2010,54.55
53,2015,54.78
55,1985,51.24
55,1990,54.02
55,1995,51.42
55,2000,51.38
55,2005,52.49
55,2010,51.48
55,2015,53.18
57,1985,52.23
57,1990,54.12
57,1995,51.79
57,2000,52.25
57,2005,52.97
57,2010,52.86
57,2015,52.84
59,1985,54.62
59,1990,56.95
59,1995,54.82
59,2000,55.07
59,2005,56.07
59,2010,55.32
59,2015,56.88
61,1985,50.67
61,1990,53.12
61,1995,50.77
61,2000,50.93
61,2005,52.13
61,2010,51.41
61,2015,52.60
63,1985,51.88
63,1990,54.16
63,1995,51.53
63,2000,51.71
63,2005,52.65
63,2010,51.90
63,2015,53.26
65,1985,52.30
65,1990,54.02
65,1995,51.88
65,2000,52.52
65,2005,53.18
65,2010,53.70
65,2015,53.68
67,1985,50.99
67,1990,53.55
67,1995,51.14
67,2000,51.02
67,2005,52.16
67,2010,50.92
67,2015,52.86
69,1985,50.65
69,1990,52.73
69,1995,50.57
69,2000,50.95
69,2005,52.24
69,2010,51.63
69,2015,51.89
71,1985,49.39
71,1990,51.82
71,1995,49.35
71,2000,49.14
71,2005,49.65
71,2010,49.43
71,2015,50.59
73,1985,52.25
73,1990,54.53
73,1995,52.03
73,2000,52.54
73,2005,53.59
73,2010,52.70
73,2015,54.07
75,1985,46.95
75,1990,49.31
75,1995,46.95
75,2000,47.12
75,2005,47.80
75,2010,47.03
75,2015,48.31
77,1985,48.77
77,1990,51.20
77,1995,48.73
77,2000,48.94
77,2005,50.07
77,2010,49.23
77,2015,49.94
79,1985,54.13
79,1990,56.53
79,1995,54.21
79,2000,54.67
79,2005,55.56
79,2010,55.05
79,2015,55.97
81,1985,51.15
81,1990,53.81
81,1995,51.23
81,2000,51.20
81,2005,52.40
81,2010,51.44
81,2015,52.85
83,1985,47.35
83,1990,49.92
83,1995,47.53
83,2000,47.54
83,2005,48.57
83,2010,47.36
83,2015,49.08
85,1985,52.53
85,1990,54.73
85,1995,52.31
85,2000,52.86
85,2005,53.89
85,2010,53.02
85,2015,54.17
87,1985,53.41
87,1990,55.45
87,1995,53.35
87,2000,53.68
87,2005,54.60
87,2010,53.85
87,2015,54.60
89,1985,52.18
89,1990,54.71
89,1995,52.10
89,2000,51.92
89,2005,53.17
89,2010,52.24
89,2015,53.69
91,1985,51.38
91,1990,53.58
91,1995,51.20
91,2000,51.45
91,2005,52.60
91,2010,51.76
91,2015,52.83
93,1985,47.22
93,1990,49.62
93,1995,47.03
93,2000,47.38
93,2005,48.23
93,2010,47.23
93,2015,49.17
95,1985,52.03
95,1990,54.30
95,1995,51.82
95,2000,52.38
95,2005,53.40
95,2010,52.59
95,2015,53.53
97,1985,51.00
97,1990,53.27
97,1995,50.98
97,2000,51.10
97,2005,52.19
97,2010,51.13
97,2015,53.04
99,1985,54.44
99,1990,57.00
99,1995,54.47
99,2000,54.92
99,2005,56.06
99,2010,55.32
99,2015,56.24
101,1985,49.88
101,1990,52.25
101,1995,49.96
101,2000,49.95
101,2005,50.94
101,2010,49.87
101,2015,51.04
103,1985,51.51
103,1990,53.61
103,1995,51.38
103,2000,51.64
103,2005,52.77
103,2010,52.12
103,2015,52.78
105,1985,52.97
105,1990,55.07
105,1995,52.78
105,2000,53.21
105,2005,54.25
105,2010,53.55
105,2015,54.20
107,1985,53.03
107,1990,55.28
107,1995,52.83
107,2000,53.17
107,2005,54.25
107,2010,53.65
107,2015,54.41
109,1985,52.43
109,1990,54.99
109,1995,52.72
109,2000,52.85
109,2005,54.09
109,2010,53.17
109,2015,54.50
