county,year,precip
1,1985,35.89
1,1990,36.33
1,1995,32.45
1,2000,35.98
1,2005,26.41
1,2010,41.35
1,2015,37.36
3,1985,42.16
3,1990,32.44
3,1995,32.32
3,2000,29.93
3,2005,33.19
3,2010,39.38
3,2015,31.51
5,1985,36.81
5,1990,35.02
5,1995,35.96
5,2000,36.62
5,2005,29.33
5,2010,37.70
5,2015,40.32
7,1985,40.36
7,1990,30.64
7,1995,30.36
7,2000,28.22
7,2005,33.66
7,2010,33.34
7,2015,30.49
9,1985,38.39
9,1990,37.55
9,1995,29.87
9,2000,31.54
9,2005,27.05
9,2010,37.24
9,2015,34.43
11,1985,27.71
11,1990,38.55
11,1995,30.69
11,2000,34.19
11,2005,31.44
11,2010,44.74
11,2015,37.66
13,1985,38.85
13,1990,30.46
13,1995,35.64
13,2000,28.68
13,2005,32.60
13,2010,39.56
13,2015,34.97
15,1985,38.15
15,1990,36.71
15,1995,29.43
15,2000,32.65
15,2005,25.77
15,2010,36.48
15,2015,35.71
17,1985,31.83
17,1990,39.14
17,1995,32.91
17,2000,38.11
17,2005,26.86
17,2010,38.51
17,2015,38.71
19,1985,33.50
19,1990,37.28
19,1995,31.61
19,2000,35.06
19,2005,27.32
19,2010,41.02
19,2015,35.61
21,1985,39.04
21,1990,35.16
21,1995,35.50
21,2000,37.17
21,2005,25.59
21,2010,40.64
21,2015,37.32
23,1985,35.57
23,1990,35.78
23,1995,32.63
23,2000,36.87
23,2005,32.57
23,2010,42.52
23,2015,36.26
25,1985,38.55
25,1990,35.32
25,1995,33.35
25,2000,39.40
25,2005,26.29
25,2010,41.14
25,2015,39.51
27,1985,37.78
27,1990,35.71
27,1995,35.46
27,2000,34.99
27,2005,27.21
27,2010,35.99
27,2015,36.16
29,1985,41.48
29,1990,37.31
29,1995,29.91
29,2000,30.81
29,2005,26.26
29,2010,33.28
29,2015,30.95
31,1985,35.89
31,1990,31.95
31,1995,32.32
31,2000,27.12
31,2005,31.92
31,2010,35.49
31,2015,32.07
33,1985,31.28
33,1990,35.46
33,1995,34.21
33,2000,34.96
33,2005,27.76
33,2010,39.62
33,2015,41.48
35,1985,30.23
35,1990,39.49
35,1995,32.63
35,2000,38.00
35,2005,27.16
35,2010,39.69
35,2015,41.41
37,1985,37.18
37,1990,30.13
37,1995,33.59
37,2000,31.26
37,2005,28.56
37,2010,36.10
37,2015,32.13
39,1985,37.65
39,1990,37.87
39,1995,31.91
39,2000,33.23
39,2005,25.03
39,2010,33.70
39,2015,33.69
41,1985,38.62
41,1990,33.44
41,1995,31.52
41,2000,33.12
41,2005,30.01
41,2010,36.55
41,2015,33.81
43,1985,35.45
43,1990,35.77
43,1995,30.77
43,2000,35.53
43,2005,31.71
43,2010,44.32
43,2015,36.03
45,1985,38.79
45,1990,39.88
45,1995,34.86
45,2000,38.16
45,2005,27.34
45,2010,39.62
45,2015,40.69
47,1985,36.17
47,1990,37.22
47,1995,33.76
47,2000,33.54
47,2005,24.16
47,2010,34.59
47,2015,33.99
49,1985,38.86
49,1990,38.69
49,1995,33.24
49,2000,37.47
49,2005,27.52
49,2010,41.41
49,2015,36.92
51,1985,41.90
51,1990,32.51
51,1995,33.85
51,2000,30.73
51,2005,33.48
51,2010,39.11
51,2015,34.02
53,1985,32.60
53,1990,37.13
53,1995,34.95
53,2000,33.82
53,2005,32.38
53,2010,42.71
53,2015,38.01
55,1985,36.25
55,1990,34.88
55,1995,34.89
55,2000,37.23
55,2005,28.54
55,2010,40.66
55,2015,36.65
57,1985,35.97
57,1990,36.20
57,1995,32.34
57,2000,36.47
57,2005,26.28
57,2010,43.56
57,2015,37.83
59,1985,37.33
59,1990,40.82
59,1995,33.40
59,2000,42.53
59,2005,24.61
59,2010,32.78
59,2015,35.86
