county,year,temp
1,1985,42.76
1,1990,45.96
1,1995,44.17
1,2000,45.02
1,2005,46.25
1,2010,46.47
1,2015,46.44
3,1985,37.89
3,1990,41.12
3,1995,39.55
3,2000,40.72
3,2005,41.97
3,2010,42.45
3,2015,41.67
5,1985,39.69
5,1990,43.59
5,1995,41.34
5,2000,42.53
5,2005,43.93
5,2010,43.82
5,2015,44.14
7,1985,38.02
7,1990,41.17
7,1995,39.47
7,2000,40.86
7,2005,41.73
7,2010,42.46
7,2015,42.08
9,1985,42.28
9,1990,44.98
9,1995,43.93
9,2000,44.55
9,2005,45.83
9,2010,46.67
9,2015,45.96
11,1985,43.04
11,1990,46.26
11,1995,44.40
11,2000,45.06
11,2005,46.53
11,2010,46.18
11,2015,47.11
13,1985,39.30
13,1990,43.19
13,1995,41.07
13,2000,42.63
13,2005,44.18
13,2010,43.82
13,2015,44.16
15,1985,43.02
15,1990,45.64
15,1995,44.11
15,2000,45.22
15,2005,46.18
15,2010,46.89
15,2015,46.34
17,1985,40.84
17,1990,44.23
17,1995,42.27
17,2000,43.19
17,2005,44.57
17,2010,44.59
17,2015,44.42
19,1985,40.64
19,1990,43.76
19,1995,41.96
19,2000,43.07
19,2005,44.35
19,2010,44.85
19,2015,44.61
21,1985,43.89
21,1990,46.81
21,1995,45.16
21,2000,46.33
21,2005,47.18
21,2010,47.62
21,2015,47.07
23,1985,44.31
23,1990,47.60
23,1995,45.62
23,2000,46.72
23,2005,47.73
23,2010,47.51
23,2015,47.57
25,1985,44.64
25,1990,47.68
25,1995,45.72
25,2000,46.83
25,2005,47.82
25,2010,48.05
25,2015,47.47
27,1985,44.25
27,1990,46.94
27,1995,45.10
27,2000,46.24
27,2005,47.04
27,2010,47.45
27,2015,46.49
29,1985,41.82
29,1990,44.52
29,1995,43.34
29,2000,44.22
29,2005,45.41
29,2010,46.35
29,2015,44.20
31,1985,37.98
31,1990,41.05
31,1995,39.42
31,2000,41.01
31,2005,42.09
31,2010,42.49
31,2015,42.26
33,1985,41.75
33,1990,45.02
33,1995,43.17
33,2000,44.10
33,2005,45.26
33,2010,45.07
33,2015,45.62
35,1985,41.53
35,1990,44.76
35,1995,43.22
35,2000,43.91
35,2005,45.40
35,2010,45.27
35,2015,45.57
37,1985,38.13
37,1990,41.11
37,1995,39.76
37,2000,40.38
37,2005,42.06
37,2010,43.19
37,2015,41.32
39,1985,43.62
39,1990,46.35
39,1995,44.43
39,2000,45.44
39,2005,46.43
39,2010,46.88
39,2015,46.34
41,1985,38.04
41,1990,41.22
41,1995,39.48
41,2000,40.33
41,2005,41.79
41,2010,43.02
41,2015,40.83
43,1985,44.78
43,1990,48.15
43,1995,46.24
43,2000,47.13
43,2005,48.12
43,2010,48.03
43,2015,47.67
45,1985,45.16
45,1990,48.30
45,1995,46.24
45,2000,47.62
45,2005,48.68
45,2010,48.73
45,2015,47.80
47,1985,43.52
47,1990,46.51
47,1995,44.69
47,2000,45.77
47,2005,46.83
47,2010,47.22
47,2015,46.62
49,1985,44.18
49,1990,47.28
49,1995,45.57
49,2000,46.55
49,2005,47.42
49,2010,47.82
49,2015,47.25
51,1985,37.27
51,1990,40.52
51,1995,39.12
51,2000,40.12
51,2005,41.40
51,2010,41.98
51,2015,40.73
53,1985,41.92
53,1990,45.18
53,1995,43.61
53,2000,44.49
53,2005,45.49
53,2010,45.89
53,2015,45.88
55,1985,45.14
55,1990,48.02
55,1995,46.09
55,2000,47.31
55,2005,48.08
55,2010,48.45
55,2015,47.65
57,1985,42.73
57,1990,45.94
57,1995,44.27
57,2000,45.18
57,2005,46.19
57,2010,46.40
57,2015,46.32
59,1985,46.20
59,1990,49.17
59,1995,47.22
59,2000,48.29
59,2005,49.17
59,2010,49.42
59,2015,47.98
61,1985,42.29
61,1990,44.56
61,1995,43.63
61,2000,44.29
61,2005,45.65
61,2010,46.35
61,2015,44.97
63,1985,43.53
63,1990,46.90
63,1995,45.12
63,2000,45.91
63,2005,47.09
63,2010,46.76
63,2015,47.17
65,1985,44.68
65,1990,48.02
65,1995,46.07
65,2000,47.20
65,2005,48.27
65,2010,48.23
65,2015,47.43
67,1985,38.88
67,1990,42.09
67,1995,40.34
67,2000,41.37
67,2005,42.43
67,2010,43.76
67,2015,42.03
69,1985,38.89
69,1990,42.09
69,1995,40.58
69,2000,41.73
69,2005,43.07
69,2010,43.92
69,2015,42.20
71,1985,42.94
71,1990,45.43
71,1995,44.02
71,2000,44.93
71,2005,46.04
71,2010,46.68
71,2015,45.77
73,1985,40.29
73,1990,43.21
73,1995,41.64
73,2000,42.72
73,2005,44.01
73,2010,44.82
73,2015,44.09
75,1985,40.56
75,1990,43.18
75,1995,41.91
75,2000,42.72
75,2005,44.27
75,2010,45.26
75,2015,43.43
77,1985,43.40
77,1990,46.52
77,1995,44.72
77,2000,45.77
77,2005,46.89
77,2010,47.21
77,2015,46.88
78,1985,40.63
78,1990,43.68
78,1995,42.12
78,2000,42.85
78,2005,43.96
78,2010,45.32
78,2015,44.16
79,1985,45.82
79,1990,48.57
79,1995,46.57
79,2000,47.67
79,2005,48.62
79,2010,49.34
79,2015,47.71
81,1985,42.60
81,1990,45.74
81,1995,43.96
81,2000,44.95
81,2005,46.07
81,2010,45.94
81,2015,45.57
83,1985,41.13
83,1990,43.89
83,1995,42.61
83,2000,43.32
83,2005,44.61
83,2010,45.83
83,2015,44.39
85,1985,38.11
85,1990,41.27
85,1995,39.73
85,2000,40.73
85,2005,42.36
85,2010,43.19
85,2015,40.74
87,1985,42.46
87,1990,45.44
87,1995,44.00
87,2000,44.81
87,2005,45.97
87,2010,46.94
87,2015,46.37
89,1985,44.67
89,1990,47.18
89,1995,45.53
89,2000,46.53
89,2005,47.43
89,2010,47.95
89,2015,46.88
91,1985,42.97
91,1990,46.09
91,1995,44.23
91,2000,44.91
91,2005,46.35
91,2010,45.98
91,2015,46.59
93,1985,42.40
93,1990,45.85
93,1995,43.52
93,2000,44.64
93,2005,45.80
93,2010,45.40
93,2015,45.43
95,1985,40.23
95,1990,44.20
95,1995,41.92
95,2000,43.38
95,2005,44.97
95,2010,44.35
95,2015,44.88
97,1985,41.68
97,1990,44.65
97,1995,43.03
97,2000,43.83
97,2005,45.10
97,2010,46.00
97,2015,45.35
99,1985,37.95
99,1990,41.36
99,1995,39.64
99,2000,40.92
99,2005,42.36
99,2010,42.84
99,2015,41.57
101,1985,46.06
101,1990,48.80
101,1995,46.82
101,2000,47.83
101,2005,48.89
101,2010,49.15
