county,year,precip
1,1985,14.71
1,1990,17.68
1,1995,20.40
1,2000,15.34
1,2005,14.08
1,2010,17.08
1,2015,16.50
3,1985,12.23
3,1990,13.49
3,1995,15.02
3,2000,10.92
3,2005,15.84
3,2010,12.94
3,2015,10.70
5,1985,12.27
5,1990,12.27
5,1995,17.92
5,2000,12.47
5,2005,15.33
5,2010,15.01
5,2015,17.13
7,1985,15.32
7,1990,14.14
7,1995,21.95
7,2000,14.77
7,2005,15.52
7,2010,19.44
7,2015,15.59
9,1985,12.70
9,1990,14.63
9,1995,19.79
9,2000,14.66
9,2005,12.96
9,2010,15.35
9,2015,16.33
11,1985,13.19
11,1990,13.92
11,1995,22.72
11,2000,16.62
11,2005,16.70
11,2010,19.53
11,2015,19.79
13,1985,13.15
13,1990,14.45
13,1995,19.26
13,2000,11.55
13,2005,14.07
13,2010,16.41
13,2015,14.88
15,1985,12.91
15,1990,17.11
15,1995,17.81
15,2000,14.73
15,2005,16.71
15,2010,17.39
15,2015,19.27
17,1985,10.33
17,1990,12.91
17,1995,16.25
17,2000,10.02
17,2005,14.88
17,2010,13.09
17,2015,13.49
19,1985,12.58
19,1990,13.96
19,1995,18.10
19,2000,12.89
19,2005,17.17
19,2010,14.44
19,2015,15.24
21,1985,15.03
21,1990,20.60
21,1995,19.79
21,2000,13.16
21,2005,16.07
21,2010,17.10
21,2015,21.49
23,1985,18.68
23,1990,18.00
23,1995,25.56
23,2000,17.97
23,2005,21.63
23,2010,22.20
23,2015,19.10
25,1985,10.41
25,1990,11.36
25,1995,16.97
25,2000,11.36
25,2005,11.13
25,2010,13.05
25,2015,12.81
27,1985,12.55
27,1990,16.01
27,1995,19.10
27,2000,15.58
27,2005,15.84
27,2010,17.55
27,2015,19.52
29,1985,19.41
29,1990,21.19
29,1995,26.04
29,2000,19.69
29,2005,22.98
29,2010,22.26
29,2015,21.25
31,1985,12.41
31,1990,17.12
31,1995,19.29
31,2000,15.07
31,2005,14.55
31,2010,17.78
31,2015,17.57
33,1985,16.24
33,1990,18.25
33,1995,21.97
33,2000,16.47
33,2005,21.30
33,2010,18.38
33,2015,16.61
35,1985,17.71
35,1990,18.11
35,1995,23.58
35,2000,16.11
35,2005,19.24
35,2010,17.96
35,2015,16.66
37,1985,8.75
37,1990,8.41
37,1995,12.25
37,2000,8.35
37,2005,9.18
37,2010,10.44
37,2015,12.18
39,1985,32.45
39,1990,31.78
39,1995,44.33
39,2000,31.21
39,2005,35.40
39,2010,38.74
39,2015,31.70
41,1985,11.24
41,1990,10.18
41,1995,14.37
41,2000,11.49
41,2005,12.88
41,2010,14.46
41,2015,13.26
43,1985,9.95
43,1990,12.19
43,1995,14.58
43,2000,9.67
43,2005,13.26
43,2010,11.54
43,2015,12.17
45,1985,10.23
45,1990,13.72
45,1995,17.63
45,2000,13.92
45,2005,15.79
45,2010,16.44
45,2015,18.38
