county,year,temp
1,1985,38.61
1,1990,40.44
1,1995,40.75
1,2000,41.73
1,2005,41.96
1,2010,40.77
1,2015,43.11
3,1985,39.25
3,1990,42.69
3,1995,42.47
3,2000,43.46
3,2005,43.72
3,2010,42.98
3,2015,45.29
5,1985,41.68
5,1990,45.00
5,1995,44.33
5,2000,45.16
5,2005,45.99
5,2010,44.88
5,2015,46.92
7,1985,39.26
7,1990,41.39
7,1995,41.38
7,2000,42.44
7,2005,42.47
7,2010,41.50
7,2015,44.05
9,1985,41.61
9,1990,44.58
9,1995,44.16
9,2000,44.86
9,2005,45.95
9,2010,44.71
9,2015,46.39
11,1985,41.48
11,1990,44.72
11,1995,44.02
11,2000,44.68
11,2005,45.83
11,2010,43.92
11,2015,46.32
13,1985,38.48
13,1990,41.02
13,1995,40.64
13,2000,41.52
13,2005,41.98
13,2010,40.82
13,2015,43.12
15,1985,44.76
15,1990,47.21
15,1995,46.74
15,2000,47.84
15,2005,48.55
15,2010,47.39
15,2015,48.76
17,1985,40.11
17,1990,43.14
17,1995,42.93
17,2000,44.13
17,2005,44.40
17,2010,43.57
17,2015,45.54
19,1985,40.30
19,1990,43.48
19,1995,42.97
19,2000,43.96
19,2005,44.76
19,2010,43.84
19,2015,45.75
21,1985,43.45
21,1990,45.30
21,1995,45.41
21,2000,46.61
21,2005,46.90
21,2010,45.94
21,2015,47.52
23,1985,35.32
23,1990,38.24
23,1995,38.57
23,2000,38.99
23,2005,38.35
23,2010,38.12
23,2015,41.12
25,1985,40.74
25,1990,43.77
25,1995,43.12
25,2000,44.35
25,2005,45.32
25,2010,44.03
25,2015,45.91
27,1985,43.12
27,1990,46.42
27,1995,45.82
27,2000,46.43
27,2005,47.26
27,2010,46.13
27,2015,47.44
29,1985,35.56
29,1990,38.34
29,1995,38.22
29,2000,39.40
29,2005,39.31
29,2010,38.97
29,2015,41.33
31,1985,44.04
31,1990,46.40
31,1995,46.34
31,2000,47.34
31,2005,47.94
31,2010,46.86
31,2015,48.58
33,1985,39.53
33,1990,42.57
33,1995,42.26
33,2000,43.06
33,2005,44.00
33,2010,43.04
33,2015,45.44
35,1985,33.61
35,1990,35.60
35,1995,35.83
35,2000,36.43
35,2005,36.10
35,2010,35.58
35,2015,38.29
37,1985,39.96
37,1990,42.23
37,1995,42.18
37,2000,42.91
37,2005,42.58
37,2010,42.02
37,2015,44.42
39,1985,31.98
39,1990,34.77
39,1995,34.95
39,2000,35.76
39,2005,35.43
39,2010,35.10
39,2015,37.48
41,1985,37.59
41,1990,40.07
41,1995,40.58
41,2000,41.05
41,2005,40.52
41,2010,39.93
41,2015,42.54
43,1985,40.87
43,1990,44.17
43,1995,44.15
43,2000,45.26
43,2005,45.52
43,2010,44.52
43,2015,46.46
45,1985,41.97
45,1990,45.19
45,1995,44.47
45,2000,45.29
45,2005,46.08
45,2010,44.86
45,2015,46.63
